pix,flux
0,-3.382907901016876
1,-3.2402804329927095
2,-1.1319765580722472
3,2.9738164259092565
4,0.9665992044539801
5,-3.1392730617486655
6,-2.850029854597551
7,-2.817996666215995
8,-1.9885745716766479
9,-2.491894671079928
10,-1.1705411473222949
11,-4.002330299287809
12,-1.322212722814089
13,-3.3809318593211577
14,-2.233444807053612
15,-4.618236066427501
16,-3.158606735712461
17,2.337720384299581
18,-4.585341287348386
19,-3.095330813117314
20,-4.2157917230784285
21,3.877500648377151
22,0.8092594976029689
23,-2.8301715742769886
24,-2.8395107696175317
25,-5.012107054413004
26,-2.6556705199409634
27,3.326886406480627
28,-2.8775972209163614
29,-3.8507540241730065
30,3.322829398633805
31,2.961110053952995
32,-3.7373212109272314
33,-3.8421199549789313
34,-3.2399787680896344
35,-1.604106790117814
36,-4.271559062078782
37,-3.0232562164350045
38,-3.3980700837675295
39,-2.3389393049490734
40,-3.4894682465883737
41,-2.6226118039534203
42,-2.7251460740893187
43,3.4322052395811005
44,-1.3897620074820995
45,-3.497487595382112
46,-3.1665136204077435
47,-3.3566226768098897
48,-3.3790210434916146
49,-0.7658936548345228
50,-1.3830376048096333
51,-3.1888423715250407
52,-2.1790945988357557
53,-3.4574372099894046
54,-1.047324797370911
55,-4.941410693350063
56,-3.508993621113083
57,-4.667827345907701
58,-2.380446123499837
59,-2.368850606770584
60,-1.1811676740432495
61,4.77973212583255
62,-3.887197817154615
63,-1.9231863178719308
64,-2.918500994496881
65,-3.38464205770639
66,-2.801001188433721
67,-3.502647238335899
68,-3.1875619634558485
69,-1.6150472472638537
70,-3.4040498382149327
71,-3.831836857698405
72,-2.180801026737579
73,-3.9666301456319415
74,-3.297769806601454
75,-3.4360704673305746
76,-4.403114330943491
77,-3.6469685943979435
78,-2.685929510217303
79,-2.89238149391508
80,-4.977056451140725
81,-4.743063111707777
82,-2.001953103249295
83,-4.73103993287451
84,-2.9273893384309715
85,-2.2739404033392985
86,-3.3098032597908222
87,-2.5834405196248063
88,-3.8036917243055837
89,1.236687008005878
90,-2.681096793606587
91,-3.264565933825619
92,-2.7805525722723963
93,-2.043826735219505
94,3.326855303625298
95,1.0316079389866653
96,-3.311837809805723
97,-3.416332776008547
98,4.469993881544238
99,5.101882467364852
100,-3.1301998363904144
101,-2.8775371815584987
102,4.874254701664261
103,-4.089162675549059
104,-4.01596543648459
105,3.0564058098382354
106,-2.548421422414541
107,1.4137812609729437
108,3.369822936848219
109,-2.648359660747923
110,-2.4351232247667767
111,-3.34920634271104
112,-3.901715181769194
113,-5.477501879242589
114,-4.215068595500969
115,-3.3472618372796377
116,-3.3845770623942326
117,1.0279571908778617
118,-3.3869229206030673
119,4.586759909581769
120,-1.9874885242903613
121,4.6672227036006255
122,2.8139187598281175
123,-2.417128805914934
124,1.6992673326147003
125,-4.842816364375244
126,2.7274380773198597
127,-3.1367584701552746
128,-4.135265461956712
129,-2.2549805754803556
130,-3.5924479008745
131,-4.473921251642996
132,-1.6035751871045485
133,-2.1943702487008214
134,-3.268707674369878
135,-4.442724141217452
136,-5.50928277215385
137,-2.552044668972932
138,-1.8642893741231756
139,-4.049114385153309
140,-2.3635769779043057
141,-2.376799070989464
142,-3.587922912013619
143,-2.69076261519059
144,-2.943915734335734
145,-4.462342229961412
146,-1.5431896534568401
147,-3.485866598839067
148,-2.12755188456913
149,-3.1490228298000718
150,-4.314142035313506
151,-1.3571321727421994
152,-3.209831833381728
153,-2.121853229874841
154,-0.5984193763155132
155,-3.9857745434144602
156,-3.0767395155748574
157,-2.2828132933967042
158,-3.3976083678260776
159,-1.6901654835363167
160,-2.2738997735228694
161,-1.5464588561635642
162,-0.9229213429911375
163,-2.9436235095259167
164,-0.8317204752289296
165,-0.8475299239163584
166,-2.4812502652585766
167,-2.592280215678695
168,-3.227931146413139
169,3.4739415312017297
170,-2.9348699382244487
171,-2.8521734307676447
172,-2.9196770352157504
173,-3.484758249839496
174,2.9870921549907092
175,-4.297009577885857
176,-2.9707290266611177
177,2.9893541435021853
178,-1.8623253371269874
179,-2.8950158516696516
180,3.6282878684981754
181,3.972379519873861
182,4.380077437692538
183,3.4242796266323547
184,-3.919359928783934
185,-2.347922393384704
186,-1.7103404367584643
187,0.19133370743707717
188,-2.227343388681808
189,2.573693357813806
190,3.0215107966890886
191,4.273577155618159
192,-3.472844963586111
193,4.26765429444605
194,-1.8791655654562538
195,-3.486095679286523
196,-3.589730489112967
197,4.3238549278604115
198,-2.5900430698745613
199,1.7418302970018578
