pix,flux
0,-1.5798251156532614
1,-2.2628211129510607
2,-0.7269702785043105
3,-3.164374686918884
4,-1.9954905596297596
5,-2.7469879450285646
6,-1.195629472301446
7,-3.963344117466292
8,-1.0716659838164933
9,-0.6094679496326106
10,-2.4841125660700345
11,1.3494136171741011
12,-1.454076947982255
13,-1.4454635352711682
14,-2.941259196225707
15,-2.195721932991421
16,-2.5295394802485447
17,-2.652627168832442
18,-2.5994382390201456
19,2.549837454307486
20,-2.011661635118982
21,-3.311908980929397
22,-2.002651661659544
23,-1.6680294129679802
24,-2.5109073353078752
25,-2.98565497476269
26,-2.7060150429518575
27,-2.20395721767339
28,1.5185770270308898
29,-1.6046082236164791
30,-2.6289113765043983
31,-2.8470124703820963
32,2.427406105293614
33,-2.4837488800142054
34,-2.6024910813082807
35,-1.078442541831166
36,-1.1382738248038544
37,2.2674594126087295
38,-2.3716925359677323
39,-2.8283465735270386
40,-4.363408324272137
41,-2.3677091491121396
42,-1.230285934788159
43,-2.0140174696447892
44,2.058050558968677
45,-1.1164173506521164
46,-1.9283432272866592
47,-2.9165728496131944
48,-1.4056991165298411
49,-1.1807505877531428
50,-1.9245677198298483
51,-2.590333420897608
52,-1.4169720217178787
53,-2.0277447909879767
54,1.4657854702137387
55,-3.389681139602875
56,-0.5571421810888043
57,-2.966641035923142
58,-2.533112660001129
59,1.525290592923035
60,-1.6585750217198245
61,1.2402303841605338
62,-3.683290328108538
63,1.7111052871964538
64,-1.1163198171160986
65,-0.08055689074660413
66,-2.1421528112718917
67,-0.9295857112821728
68,-1.8241881625379355
69,3.1671885440794574
70,0.8915746302919619
71,-1.1490059718723749
72,-0.521226378686691
73,-1.9958044159927533
74,-1.7153000812315684
75,-1.6241352267182885
76,-1.1739117800136312
77,-0.750310538537618
78,0.5355542294303027
79,2.6234023821482757
80,-2.0205532285489776
81,-2.477587725734242
82,-1.6208169307053228
83,-1.1306580639383306
84,-2.4057731640059368
85,-2.403559302745939
86,-3.8973181330983406
87,1.7440376248272598
88,-2.328875378053605
89,-1.927025481784895
90,-1.7519543261972
91,-1.5320311766820265
92,-0.46033067629640095
93,-3.962317275952719
94,-2.9273794273156444
95,-2.709224799530592
96,-1.9729485041533095
97,-2.5687658569854115
98,-2.8347111220509023
99,0.8020437833569671
100,-3.7170238384372367
101,-2.4200917629250824
102,1.706725541214972
103,-3.6206444606571795
104,-2.5772943788971165
105,-0.9819707803525377
106,-2.8788630868861578
107,-3.530138020335282
108,-3.3004139882850128
109,-1.2551389736418328
110,3.6689712980574365
111,-2.93449201706053
112,-2.0074216884618723
113,-1.5188600296176544
114,-1.6238681366190653
115,-1.643266315578309
116,-2.5591737576175966
117,0.6592725080938044
118,-1.3190690450530926
119,-3.2919737606234
120,0.479210957858349
121,-1.9157833639664668
122,1.9107640727386292
123,-4.070622801975612
124,-0.750355112001019
125,1.0427149639406939
126,-3.11043229971197
127,-2.8130945641549854
128,-1.031095388435651
129,-2.052800228069756
130,-2.111448792627601
131,-2.8638582901299374
132,-1.8291047119646024
133,-2.583701841466369
134,-1.7391250784829786
135,-2.725772787869709
136,-1.3860584058489698
137,1.3387088581932851
138,-2.6728500854017403
139,-0.5878317918619804
140,-2.21886863760859
141,-1.24382199800472
142,-1.4351678346105414
143,-2.6536668515184014
144,-3.8509637618259593
145,-3.349514319341947
146,-2.746571354510387
147,-1.8955610210950367
148,-2.274753236298707
149,-3.4503936628273237
150,-1.2646242743581364
151,2.0672307436277584
152,-2.7790935063197555
153,-1.2956904621930165
154,-1.9029411791619004
155,-4.038171636483978
156,-2.609859529917441
157,1.4097820926534588
158,-0.13700497131493947
159,-0.9280805936305535
160,-1.9556779991045445
161,-1.130599028290343
162,1.244727176036897
163,-2.2741132085381457
164,-1.630034687884819
165,-2.032614035401372
166,-2.370624593556419
167,-1.5833099765857293
168,-2.048220612855277
169,-3.780154372039191
170,-3.6065212363777275
171,-1.7416367577698824
172,-2.8389152336255026
173,-2.758148524014283
174,-2.139919543478107
175,-2.890407116022116
176,-1.534670025249918
177,-0.633297013978103
178,-3.1014128579742644
179,-2.199738756697646
180,-2.350742490489377
181,-0.2920951153776048
182,-2.5448871453565367
183,-3.064612994534357
184,-1.4598065527679178
185,-1.51783911432468
186,-2.9106506743374916
187,-2.501270001380377
188,-0.8573946894957907
189,-0.3951955953687346
190,-2.2762621116945456
191,-3.016324346794053
192,-0.3160565691898439
193,-2.178427082018147
194,-3.226341737474444
195,-2.4958291803663597
196,-3.3437555911424015
197,-1.4444762382654646
198,-2.5478964192179188
199,-2.2813204725992935
200,-1.8154003856312564
201,-2.8359320993885624
202,-3.4390499435322677
203,-1.8371672726204817
204,-1.825877397407021
205,-1.02607847932277
206,-2.5856967963664794
207,-2.4026349327509977
208,-0.68385724366924
209,-2.836134556410123
210,-2.022616667670029
211,-1.624158878615581
212,-1.7739492870177398
213,-2.6916341413428806
214,-1.0515500938367697
215,-2.1601062006508456
216,-2.246609751445337
217,-2.5572825813277675
218,-1.9590051144986884
219,-3.130922261588498
220,-2.452057075373679
221,-1.8266693916743992
222,-3.497076203420291
223,-2.286551942944652
224,-1.5140408186337644
225,-1.736275697250827
226,-0.7696454924005193
227,-2.8389751757622603
228,1.1603662683084524
229,-0.7503771417862918
230,-1.3581508579974566
231,-1.2402953690364205
232,-2.4064165609638652
233,-2.9929325825681548
234,-1.6817831241955994
235,-0.9913602731790253
236,-1.8912315607709314
237,-0.8666048156702905
238,-1.5488448743641048
239,-3.694359008268414
240,-0.7688507450857475
241,-1.6944773207749342
242,-1.5454097521815953
243,-3.280443277304738
244,-2.354443695420922
245,-2.167738806295467
246,-1.0914604852388954
247,-2.3143756249312437
248,-1.5439904634854082
249,-1.0883537062514312
250,-0.43477471130457085
251,-2.971790488787447
252,-2.0158234789069103
253,-2.4375880020618492
254,-1.4448546314956507
255,-2.734838797248209
256,-2.8848482330470717
257,-2.3599945388001324
258,-2.5610676179118284
259,-1.1558657427400436
260,-1.8782539991197404
261,-2.314091572762496
262,-1.766238901639365
263,-1.919794883928267
264,-3.375091159818297
265,-1.5234593730416062
266,-2.5944089120001235
267,-1.1405373623525932
268,1.5115305835987478
269,0.7459987661342794
270,-3.1083453980177365
271,-2.5773278117214944
272,-1.798510399752296
273,-2.153158761563737
274,-1.9903091037590925
275,-0.9538807769953078
276,-1.0185069972700396
277,-1.5036815745884828
278,1.4100641566933871
279,-2.681533257898674
280,2.22127343630991
281,-1.7875009859415787
282,-2.5887680313859773
283,-1.146423697337553
284,-1.5704779779727176
285,-1.2581968423577365
286,-1.7433928981623195
287,-0.8916178784277358
288,-1.6371402272804252
289,-2.327968397015253
290,1.5579840519223072
291,-1.8196299683316963
292,-0.42288499882874014
293,-0.8028609895723191
294,-1.039307296414703
295,-2.311216713583808
296,-0.7764931945138195
297,-1.1143752836754364
298,-1.7869363838140477
299,-2.4029100965474686
300,-1.4901391249529716
301,-1.845197915500632
302,-2.6451202784334673
303,-1.3865947847470341
304,-4.255138442622697
305,-1.1563503662237866
306,-2.840318098182733
307,-2.4641238305359745
308,-2.8431283816819146
309,-2.0807272134877466
310,-1.4659978755988594
311,-0.8844172110181159
312,-1.3049247661049053
313,-2.227362129431388
314,-3.542964592419406
315,-0.6972495705670348
316,-3.122692297583897
317,-2.4626273807837427
318,-0.9883581821248396
319,-3.585266480044295
320,-1.489581741440524
321,-3.164571913856083
322,-1.7421079145102678
323,-1.804372469385755
324,-1.81124121428448
325,-0.9177686265990739
326,0.8513013993240035
327,-1.2246007350923083
328,-1.1976559362314019
329,-1.724238326165612
330,-1.820581280178421
331,-1.535116770972041
332,-1.8716639650478784
333,-1.1846801491763241
334,-1.6460350473093914
335,-1.238593319750279
336,-1.5516793172963588
337,-1.9569549929593242
338,-3.1078751022122573
339,-2.4042103503043126
340,-1.5759357051786413
341,-1.9339522890413945
342,-1.9752694774434514
343,-0.8149093256643957
344,0.41085726002788714
345,4.102027696614364
346,0.340869501690113
347,-2.7069270613146204
348,0.044815334539979546
349,-1.1881828132593797
350,0.5317092396630598
351,-1.3821698448532456
352,-0.2752476542763012
353,-0.3783565984825023
354,-0.43119671075092525
355,-2.222141722908433
356,-0.4361188278724079
357,-1.718646787441211
358,-1.805308700405153
359,-2.151637830615248
360,-1.6602794147826316
361,-0.143386228020123
362,-2.5225673570259906
363,-1.7694725570567953
364,-2.3031415189482
365,-1.2253676137815586
366,-2.502239866016811
367,-2.7723526034022337
368,2.5697213924501616
369,0.43681058724417005
370,1.5298390937338855
371,-1.9628124404019545
372,-2.7087565549125685
373,-1.6096971480695068
374,-3.0062927787096956
375,-1.5271577584162481
376,-3.7131743947551232
377,-2.2329724727154874
378,-1.8775515442149064
379,-0.35739289867731167
380,-0.38524402626343895
381,-3.7098269251386027
382,-1.8819464490159887
383,-1.3902214199300469
384,-1.6930862549694374
385,-3.0043578395996327
386,-2.688610427240518
387,0.669204022197814
388,-0.029985265503135444
389,-1.3136824618405887
390,-0.8535549559499134
391,-1.5786543903363506
392,-0.8625322295958285
393,-1.5436836133461251
394,-1.7659286141564805
395,-1.3468200785740332
396,-0.2866838902975176
397,-1.3527094020717374
398,-1.7738325779483886
399,-1.5676675208975641
400,2.020148401751333
401,-1.4501710028467698
402,-2.089471809694058
403,-1.8838931191803907
404,-1.7677112976545408
405,-1.7405696335811713
406,-1.7796320112066994
407,-2.3542500563458346
408,-1.3907480546549122
409,-3.22857003811575
410,-1.9905346002465711
411,-3.86738059867569
412,-0.8725111361098471
413,-0.5901483735530028
414,-0.9105064234823408
415,-1.8527733701851068
416,-3.0260506629316257
417,-2.779369582520448
418,-1.9833852103690717
419,-1.2884185153347738
420,-0.7111302235765873
421,-1.4455787868660985
422,-0.9383913146229612
423,-2.312835147614437
424,-2.2653811338753327
425,-2.7038280997711075
426,-1.2719670172039619
427,-1.236569734547012
428,-2.806686419210788
429,-2.5244352783780295
430,-1.608533535004253
431,-1.0729057840611813
432,-1.0464035033581152
433,-2.525271133151913
434,-2.206801793559934
435,-1.9723563728737514
436,-0.40286732174987017
437,-1.236783505329699
438,-2.398381766242446
439,-1.6936602049755236
440,-2.050448726323363
441,-1.2424996167125772
442,-2.8677921696554525
443,-0.030908032564170476
444,-1.1582291726251315
445,-1.0063541501255848
446,-1.9251763076018207
447,-2.039324400330733
448,-0.2655776027536932
449,-0.8399113894908475
450,-1.1885906042455652
451,-0.10325988350076992
452,-0.7118715104886726
453,-1.789757043253257
454,-1.550831528621059
455,-1.0243997560218885
456,-0.8833354297590373
457,-1.6185479292389005
458,-2.4885374896850916
459,-0.925426866360322
460,-0.8737867632817039
461,-0.9051506059498038
462,-1.8978726493315636
463,-2.633659649316558
464,-1.630805227770826
465,0.35972092409399226
466,-2.5566855734825538
467,-2.445783285518865
