pix,flux
0,-3.6739972661867424
1,-2.520596951490253
2,-3.114804948702868
3,3.8441818318593057
4,1.721857926013657
5,-4.088544373784327
6,-3.4075872232218343
7,-2.563968238048359
8,-4.161321798016757
9,-2.4475315742933685
10,-2.697182472378394
11,-2.8091309801781392
12,-1.9894419753150934
13,-2.654358537127176
14,-2.8480004212788352
15,-1.811092759160316
16,-2.365874982843811
17,3.367383102534457
18,-3.484514819923978
19,-2.374896149089973
20,-4.573305992305288
21,4.116681568927392
22,1.7941429740247277
23,-2.5451254822043454
24,-3.147709584752878
25,-5.762790355522177
26,-1.9127936368682528
27,5.355243337423428
28,-2.7644451792958704
29,-3.563401785697845
30,3.8203539328358675
31,2.412046266299479
32,-4.059715378265624
33,-4.446624148427642
34,-3.4411922537929254
35,-1.71057124277687
36,-5.209795711934154
37,-4.400464339921098
38,-2.876582870892469
39,-2.1049858035326383
40,-3.050991216101846
41,-3.555464055883737
42,-2.795068376896513
43,3.7677867283750266
44,-3.4491108154115078
45,-2.2765121520537965
46,-3.2300462176654725
47,-3.061424979324023
48,-2.898997838662298
49,-1.369000606540944
50,-2.545922319919348
51,-2.9795507095383367
52,-1.8440414017918092
53,-3.1378968250751518
54,-0.8048482467999298
55,-2.50394881096575
56,-3.0058344916982724
57,-4.367342317471475
58,-4.134398350521668
59,-2.291637472714202
60,-1.2331714702656535
61,3.09948402701374
62,-2.9018032809161243
63,-2.709848477363317
64,-2.8275350974480067
65,-3.7844689117278274
66,-2.453213954187727
67,-3.6510319530147965
68,-3.3240521094530724
69,-2.0762800528361356
70,-3.290577160077222
71,-3.735664532621289
72,-3.5479901588751495
73,-3.4419020289719366
74,-2.6697200517383437
75,-3.99884805602389
76,-3.7120085504539224
77,-2.5837905220659434
78,-3.2099482083947692
79,-3.521072333480167
80,-4.640988390262662
81,-2.748798286779821
82,-3.107645730168543
83,-5.379550786173724
84,-1.5447450282172726
85,-1.0293115736397855
86,-2.7304638507554033
87,-2.193805897263431
88,-4.614840507043605
89,2.475018045312082
90,-3.3390080642562836
91,-1.7356328552677531
92,-4.005585467312963
93,-1.8618652791338133
94,4.07501864332148
95,2.1403690546954115
96,-2.630516926467033
97,-3.2348476062051157
98,4.724548031146588
99,4.458890596707794
100,-2.6676667310738944
101,-2.190841825982717
102,6.059455284568137
103,-3.2344641852061593
104,-3.20477698573676
105,3.4681147740589635
106,-3.5758441916089225
107,3.2188041385639212
108,3.9118612055349726
