pix,flux
0,-0.255061559921239
1,0.51969266742993
2,0.5250702078433269
3,-0.4382173570710715
4,-0.6433767056915738
5,1.0467003281571314
6,-0.10454103448639036
7,0.8670384715919393
8,-0.5159114323561396
9,0.8625024810675355
10,0.69804716640015
11,-0.10274094222082107
12,1.4947130731292122
13,-1.0763306648909365
14,0.47604478906777853
15,-0.10769706633207085
16,-0.12143527722746264
17,0.5173276630183008
18,-1.0122050796425197
19,0.14456981644489553
20,0.22555667537248966
21,1.5182080174725472
22,-0.5462423655971074
23,-0.4239075708168588
24,-2.22137843904919
25,-1.5060417137450346
26,0.987032301971373
27,1.346472222486871
28,0.5379040434435152
29,-0.44232951854368935
30,-0.9030712599929306
31,-1.0622370421398484
32,0.4707209146214647
33,-0.24604206785712948
34,0.3842540466673984
35,0.7644184175332577
36,0.24113964521873227
37,-0.3666151848817579
38,0.7763350654404849
39,0.7382689303981546
40,0.5152738112362406
41,0.8401305419144853
42,2.263846561921365
43,1.1167512522227174
44,1.5195845766746992
45,0.05854609328126831
46,0.5708106560843891
47,0.49936911393081007
48,0.20391758531054072
49,2.5438743656652782
50,0.24942861714934514
51,0.8389608807708419
52,1.1273449205466313
53,-0.5374183196905339
54,0.8439246989893314
55,-0.9701294973222294
56,0.15724576527610526
57,0.5371798799694961
58,-0.363013735422058
59,0.6909992945119101
60,1.684280992038244
61,0.38695617282090666
62,-0.31344381723123876
63,0.42888490875568225
64,-1.0203924207043487
65,0.9136884110578262
66,0.5055028849406187
67,0.41247265652962944
68,-0.1867638502838788
69,0.7155307571893529
70,0.529745613157948
71,-0.4558255554550653
72,-1.1059079774091363
73,0.2255345833540215
74,1.589469353098257
75,0.1404674211347873
76,-0.5573735337756631
77,-1.2595018966600808
78,-0.7295849546836278
79,-0.7201070968766842
80,-1.9621071277048365
81,0.6726393437787564
82,0.8759814297867274
83,-0.8381289899613467
84,0.8562898243407854
85,1.0463532085423892
86,0.824353527784369
87,0.6170320162472227
88,-0.7551475321468673
89,-0.9205783061718578
90,1.4305119486071396
91,-0.1143210902985587
92,-0.6050359298641456
93,0.8002695596135769
94,0.3306005955598388
95,-0.6353015361014384
96,1.7823437941332827
97,0.7107773776685112
98,0.5927134059628628
99,-0.5597606529536213
100,-0.0829999939207023
101,0.5955301171194091
102,1.4177260234248938
103,1.4077441480971764
104,0.9168767991774549
105,-0.42042000124057477
106,0.14321607271839618
107,-1.6748856570326789
108,0.378213806333882
109,0.5184429236514209
110,-0.45347817069358937
111,-0.2832032677875172
112,-1.4002117907711442
113,-0.9429998779427209
114,0.06974520306862254
115,1.1306620581221767
116,-1.0432784259662957
117,-0.36402678662147253
118,1.1534294123905764
119,1.4134836446505519
120,-0.4105721262327958
121,-0.22180834130950539
122,-1.2806848126682258
123,0.17761495186061338
124,-0.6651001888566133
125,-0.6825517778379853
126,-0.09412018645542704
127,0.44746639602063504
128,-1.3309066290015164
129,0.17499207448033016
130,-0.20613790477792202
131,0.49795670609457704
132,0.05675641864373234
133,-0.24616703323855751
134,0.17617133386883588
135,0.8849529614874886
136,-1.9915040803191362
137,0.9031925433623446
138,1.3129227938867092
139,0.9779854259653649
140,1.2365086051779917
141,-0.25181092203587024
142,-0.7511347259115098
143,-1.9125004926317923
144,0.6758797153951988
145,0.406347815163041
146,1.3940712147631302
147,0.03602119559662753
148,-0.2661155440045278
149,-0.008898583613456341
150,-0.6947672583813929
151,3.4706993638517076
152,0.22872870180468147
153,2.0245699394592584
154,-0.68694357742955
155,0.33147360765743844
156,0.051510184412485935
157,0.9163830156144829
158,0.6437751385037377
159,0.3357053780862217
160,0.14743541449812675
161,0.8603040534068745
162,0.20378404447981213
163,-0.10959423194682165
164,0.9970721063965093
165,0.6950260323495315
166,-0.6246266722700887
167,-0.3426831163993648
168,0.5891465618079911
169,0.9789189711622354
170,-1.0209304216193742
171,1.4010819335128857
172,0.02271433292026467
173,0.8687598240853567
174,-0.024738137638403244
175,-1.5441255747099785
176,-1.7044734936135966
177,0.3550147491451421
178,1.3127195025108995
179,0.6893375830138582
180,-0.029983298848383036
181,-0.2838363391510694
182,1.791060647416853
183,0.2747051862120829
184,-0.41827752950679337
185,-0.1224153985415788
186,0.6607205675968573
187,-1.8127250477311703
188,1.2899010321490665
189,-1.424360156315618
190,1.2688482316397738
191,1.401273895394428
192,-0.1238310731924725
193,0.08194389118196055
194,-1.7090677807934807
195,-1.4531867308120117
196,2.120041719958115
197,0.5176575182253612
198,0.0957309365174371
199,-1.1805726171368562
200,1.3964388213467882
201,-1.6392016048480644
202,-0.2930986630434711
203,-1.1604956268705038
204,-0.022313228726498678
205,0.4112266273287129
206,-1.7365717794748612
207,-0.7878935890467368
208,0.03992195513147055
209,-1.5971724542401107
210,-0.43386662227365214
211,0.49029696797044153
212,-0.6183026894847172
213,-2.431036164820205
214,-0.4229773289335857
215,0.5588104769112135
216,-0.36898809584902353
217,0.02646000117997262
218,-0.7692350348767729
219,0.6510892781772517
220,-0.4036036322181154
221,-0.34279387544222406
222,-0.6425675575527756
223,-0.12083237221690715
224,-1.0094835968367335
225,-1.030699701651222
226,-1.5987619690661572
227,-0.839692987658038
228,0.27303788295229087
229,0.7484965953698038
230,0.6232681716860671
231,1.3503294687729075
232,-0.6673639040419459
233,0.6745547553995409
234,-0.4704283576610168
235,-1.0980123150962473
236,-0.8680637013961505
237,0.06746252591794222
238,1.26803682983509
239,-0.422402401684266
240,0.9840786061418774
241,-2.236915742395576
242,0.11301339195416676
243,0.3257190082421527
244,-0.42560675294300987
245,1.4026540806452588
246,-0.0131999043851661
247,-2.2294716821458254
248,0.485382719775157
249,0.23997892408203997
250,-0.3992573964909348
251,-0.29710423587709855
252,-0.4871717477530293
253,-0.7744677679931892
254,0.4129625008807455
255,1.3965740883943296
256,-0.17756363569273959
257,0.34564999530301754
258,1.8543962013875837
259,-0.7314126993395633
260,-1.761810772035143
261,-2.0734076146189873
262,1.8013672413080568
263,0.3272931862109291
264,0.9402385695778045
265,-0.6531621911221768
266,1.5976849046391537
267,-0.5731097772495466
268,0.7820872896614387
269,0.7207707192655717
270,2.541441024005885
271,0.01624174618721109
272,-0.747150750412349
273,-0.7834328640089431
274,1.2053635301489602
275,0.4463216233053224
276,-1.317143512680782
