peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3409.0,3408.767822265625,6366.10302734375,Cs,,4MOST,71.1681137084961,,,,,
3614.0,3613.673095703125,6432.525390625,Cs,,4MOST,97.83287048339844,,,,,
3740.0,3739.81591796875,6473.26806640625,Cs,,4MOST,132.84432983398438,,,,,
4092.0,4092.5205078125,6586.5096,Cs,1.0,4MOST & NIST,866.603759765625,,6586.50973,0.0005,0.00022,-0.0001
4226.0,4225.8955078125,6628.6576,Cs,1.0,4MOST & NIST,258.9280700683594,,6628.6569,0.0005,0.0003,0.0007
4523.0,4522.73193359375,6723.2838,Cs,1.0,4MOST & NIST,4513.92236328125,33000,6723.28979,0.0009,0.00023,-0.006
4616.0,4616.27099609375,6752.82275390625,Cs,,4MOST,13.056167602539062,,,,,
4847.0,4846.158203125,6825.00830078125,Cs,,4MOST,409.3057861328125,,,,,
4922.0,4923.1376953125,6849.06591796875,Cs,,4MOST,15.965371131896973,,,,,
4992.0,4992.564453125,6870.4544,Cs,1.0,4MOST & NIST,540.0888061523438,,6870.45316,0.0005,0.00017,0.0012
5297.0,5297.73779296875,6965.29541015625,Cs,,4MOST,317.3166809082031,,,,,
5323.0,5323.6953125,6973.2966,Cs,1.0,4MOST & NIST,2897.556884765625,,6973.29642,0.0005,0.00025,0.0002
5357.0,5356.900390625,6983.4912,Cs,1.0,4MOST & NIST,411.7379455566406,,6983.49607,0.0005,0.00025,-0.0049
5628.0,5629.26904296875,7067.00244140625,Cs,,4MOST,27.716920852661133,,,,,
