peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
2001.0,2000.60498046875,4306.6718,Cd,1.0,4MOST & NIST,19.59531021118164,8,4306.6718,,,0.0
2344.0,2344.243408203125,4412.9894,Cd,1.0,4MOST & NIST,88.9344482421875,3,4412.9894,,,0.0
2352.0,2352.40673828125,4415.6859,Cd,2.0,4MOST & NIST,38.119720458984375,1000,4415.65+,,,0.04
3156.0,3155.811767578125,4662.352,Cd,1.0,4MOST & NIST,185.39276123046875,8,4662.3520,,,0.0
3207.0,3207.617431640625,4678.1493,Cd,1.0,4MOST & NIST,20472.5625,200,4678.1500,,,-0.0007
3608.0,3608.218505859375,4799.9123,Cd,1.0,4MOST & NIST,35276.9765625,300,4799.9121,,,0.0002
4563.0,4562.60595703125,5085.8217,Cd,1.0,4MOST & NIST,38488.83203125,1000w,5085.8214,,,0.0003
4796.0,4795.7333984375,5154.6605,Cd,1.0,4MOST & NIST,128.18936157226562,6,5154.6618,,,-0.0013
