peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
2594.0,2593.811767578125,6099.1421,Cd,1.0,4MOST & NIST,11.141141891479492,300.0,6099.142,,,0.0
3283.0,3283.205322265625,6325.1661,Cd,1.0,4MOST & NIST,37.852317810058594,100.0,6325.1689,,,-0.0028
3298.0,3297.740966796875,6330.0133,Cd,1.0,4MOST & NIST,11.62611961364746,30.0,6330.0149,,,-0.0016
3632.0,3631.92822265625,6438.4695,Cd,1.0,4MOST & NIST,6482.0244140625,2000.0,6438.4695,,,0.0
5299.0,5297.75390625,6965.30029296875,Cd,,4MOST,16.789289474487305,,,,,
