peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
1096.0,1095.894775390625,5600.051044980504,He,,4MOST,19.6909236907959,,,,,
1122.0,1122.3795166015625,5608.95724054904,He,,4MOST,19.895376205444336,,,,,
1129.0,1128.73779296875,5611.095056414319,He,,4MOST,19.8886661529541,,,,,
1141.0,1141.03759765625,5615.230206777031,He,,4MOST,20.97063446044922,,,,,
1151.0,1150.3427734375,5618.3582555661405,He,,4MOST,19.87578392028809,,,,,
1158.0,1158.501220703125,5621.1005901113895,He,,4MOST,21.257280349731445,,,,,
1174.0,1172.6259765625,5625.8478990201065,He,,4MOST,22.25501823425293,,,,,
1181.0,1180.7833251953125,5628.589276099544,He,,4MOST,20.5687313079834,,,,,
1186.0,1187.6488037109375,5630.896335410141,He,,4MOST,22.3778133392334,,,,,
1207.0,1206.91162109375,5637.368535140286,He,,4MOST,22.235843658447266,,,,,
1221.0,1220.79833984375,5642.0336262123365,He,,4MOST,21.862558364868164,,,,,
1246.0,1245.6552734375,5650.382407176663,He,,4MOST,21.53621864318848,,,,,
1269.0,1266.75634765625,5657.468025750483,He,,4MOST,20.497913360595703,,,,,
1289.0,1289.56982421875,5665.126906334327,He,,4MOST,20.80655860900879,,,,,
1299.0,1296.9263916015625,5667.596241020971,He,,4MOST,20.98945045471192,,,,,
1323.0,1321.9859619140625,5676.006380907579,He,,4MOST,24.723657608032227,,,,,
1367.0,1367.5657958984375,5691.297380482531,He,,4MOST,21.95018768310547,,,,,
1382.0,1380.4716796875,5695.625614301688,He,,4MOST,22.19895362854004,,,,,
1392.0,1393.6134033203125,5700.032299218659,He,,4MOST,22.767513275146484,,,,,
1464.0,1464.20654296875,5723.692319093457,He,,4MOST,30.191410064697266,,,,,
1473.0,1473.0645751953125,5726.659815513304,He,,4MOST,27.964279174804688,,,,,
1481.0,1481.435791015625,5729.46394174662,He,,4MOST,28.13704490661621,,,,,
1490.0,1488.412353515625,5731.800686256049,He,,4MOST,27.700410842895508,,,,,
1526.0,1525.1971435546875,5744.118258507548,He,,4MOST,25.369176864624023,,,,,
1546.0,1546.9896240234375,5751.413016170604,He,,4MOST,26.57090377807617,,,,,
1578.0,1576.373291015625,5761.245769504177,He,,4MOST,25.92127227783203,,,,,
1586.0,1586.55126953125,5764.650834301772,He,,4MOST,26.03349876403809,,,,,
1615.0,1613.6248779296875,5773.7062825547855,He,,4MOST,28.801210403442383,,,,,
1624.0,1625.1365966796875,5777.555741499644,He,,4MOST,26.05459785461425,,,,,
1632.0,1631.1484375,5779.565849356264,He,,4MOST,28.27812957763672,,,,,
1645.0,1646.069580078125,5784.55419841977,He,,4MOST,27.93521881103516,,,,,
1657.0,1657.3427734375,5788.322363613395,He,,4MOST,28.199575424194336,,,,,
1673.0,1672.9981689453125,5793.554425300389,He,,4MOST,25.116819381713867,,,,,
1684.0,1684.4903564453125,5797.394471081906,He,,4MOST,26.8569564819336,,,,,
1689.0,1685.6365966796875,5797.777449465983,He,,4MOST,27.03622436523437,,,,,
1703.0,1702.3929443359375,5803.375387783605,He,,4MOST,29.521934509277344,,,,,
1711.0,1710.417724609375,5806.055868341433,He,,4MOST,27.46857452392578,,,,,
1728.0,1724.7440185546875,5810.840523561377,He,,4MOST,27.859752655029297,,,,,
1745.0,1743.86181640625,5817.224045742384,He,,4MOST,29.099708557128903,,,,,
1755.0,1754.3214111328125,5820.715879656921,He,,4MOST,27.71665000915528,,,,,
1778.0,1778.89306640625,5828.917002660332,He,,4MOST,28.538066864013672,,,,,
1795.0,1792.7239990234375,5833.532095018087,He,,4MOST,27.741729736328125,,,,,
1812.0,1810.436767578125,5839.441238277141,He,,4MOST,30.855844497680664,,,,,
1822.0,1818.1351318359373,5842.009049185346,He,,4MOST,28.800107955932617,,,,,
1829.0,1829.02294921875,5845.640260022993,He,,4MOST,29.747743606567383,,,,,
1854.0,1853.4525146484373,5853.785866770755,He,,4MOST,33.5813102722168,,,,,
1881.0,1880.9169921875,5862.940203015931,He,,4MOST,42.94424057006836,,,,,
1892.0,1892.384765625,5866.761578931676,He,,4MOST,58.76259994506836,,,,,
1920.0,1919.50537109375,5875.621,He,1.0,4MOST & NIST,73940.8125,500*,5875.61397,,3e-05,0.007
1962.0,1960.8587646484373,5889.566478722269,He,,4MOST,43.821754455566406,,,,,
1980.0,1978.34033203125,5895.385158497599,He,,4MOST,34.172874450683594,,,,,
2002.0,2001.69189453125,5903.155428494282,He,,4MOST,32.51902770996094,,,,,
2029.0,2028.447998046875,5912.055429853652,He,,4MOST,30.92632293701172,,,,,
2045.0,2044.3387451171875,5917.339646349774,He,,4MOST,30.3425521850586,,,,,
2063.0,2063.050048828125,5923.560264831411,He,,4MOST,28.15770149230957,,,,,
2101.0,2101.21240234375,5936.24227560562,He,,4MOST,26.026382446289062,,,,,
2121.0,2119.473388671875,5942.308255311423,He,,4MOST,25.107709884643555,,,,,
2173.0,2172.126220703125,5959.78960625771,He,,4MOST,26.472267150878903,,,,,
2194.0,2193.9892578125,5967.044434818494,He,,4MOST,26.83650779724121,,,,,
2221.0,2221.532958984375,5976.18095490552,He,,4MOST,26.25561141967773,,,,,
2250.0,2250.29736328125,5985.7184107110525,He,,4MOST,24.099727630615234,,,,,
2258.0,2257.0478515625,5987.956087601864,He,,4MOST,25.49497604370117,,,,,
2286.0,2285.72900390625,5997.460899183761,He,,4MOST,24.090965270996094,,,,,
2296.0,2295.333740234375,6000.642951770255,He,,4MOST,24.596078872680664,,,,,
2336.0,2334.9814453125,6013.773357834055,He,,4MOST,23.93741226196289,,,,,
2353.0,2353.818603515625,6020.009016064737,He,,4MOST,22.46145248413086,,,,,
2390.0,2389.80615234375,6031.916958807416,He,,4MOST,24.00153923034668,,,,,
2425.0,2422.50732421875,6042.731736457501,He,,4MOST,20.531747817993164,,,,,
2469.0,2473.99365234375,6059.747887892538,He,,4MOST,19.15043830871582,,,,,
2491.0,2491.24853515625,6065.447521168903,He,,4MOST,20.219343185424805,,,,,
2535.0,2534.637939453125,6079.773021692356,He,,4MOST,19.182052612304688,,,,,
2548.0,2550.8173828125,6085.1123090917,He,,4MOST,19.08745384216309,,,,,
2588.0,2591.2802734375,6098.459158142634,He,,4MOST,20.35498809814453,,,,,
2616.0,2615.054443359375,6106.297086022729,He,,4MOST,19.88462257385254,,,,,
2640.0,2639.603515625,6114.387294951973,He,,4MOST,19.81353187561035,,,,,
2697.0,2697.130615234375,6133.332688279225,He,,4MOST,20.19482040405273,,,,,
2723.0,2722.665283203125,6141.736213615342,He,,4MOST,35.99167251586914,,,,,
2735.0,2734.399169921875,6145.596660043042,He,,4MOST,20.32044219970703,,,,,
2754.0,2753.00732421875,6151.717174715245,He,,4MOST,18.93936347961425,,,,,
2768.0,2767.521728515625,6156.489853495845,He,,4MOST,19.262495040893555,,,,,
2793.0,2792.448486328125,6164.683612060663,He,,4MOST,19.15303421020508,,,,,
2814.0,2813.545166015625,6171.615644924202,He,,4MOST,19.63702964782715,,,,,
2826.0,2824.93994140625,6175.358741299393,He,,4MOST,19.633419036865234,,,,,
2858.0,2857.376708984375,6186.009934059927,He,,4MOST,20.32689094543457,,,,,
2901.0,2901.03369140625,6200.33598018253,He,,4MOST,20.33087539672852,,,,,
2925.0,2925.7880859375,6208.454250057035,He,,4MOST,19.79942321777344,,,,,
2992.0,2991.5947265625,6230.018299895088,He,,4MOST,19.49400520324707,,,,,
3042.0,3041.456298828125,6246.340270072488,He,,4MOST,20.439138412475582,,,,,
3090.0,3088.753173828125,6261.808887279696,He,,4MOST,23.75173759460449,,,,,
3122.0,3122.377197265625,6272.797468613511,He,,4MOST,23.49460220336914,,,,,
3140.0,3137.90625,6277.870134443909,He,,4MOST,23.001264572143555,,,,,
3217.0,3215.83935546875,6303.304839446744,He,,4MOST,25.65705680847168,,,,,
3274.0,3275.048583984375,6322.603075954194,He,,4MOST,24.50217628479004,,,,,
3296.0,3300.38232421875,6330.853303798562,He,,4MOST,25.005529403686523,,,,,
3323.0,3320.9248046875,6337.540146039682,He,,4MOST,23.86450958251953,,,,,
3333.0,3332.71630859375,6341.377188964017,He,,4MOST,25.248065948486328,,,,,
3342.0,3341.828125,6344.341617776792,He,,4MOST,26.308958053588867,,,,,
3364.0,3363.533935546875,6351.401162736071,He,,4MOST,25.17811393737793,,,,,
3376.0,3375.1953125,6355.192594835809,He,,4MOST,25.211435317993164,,,,,
3402.0,3404.542236328125,6364.73007877554,He,,4MOST,24.355918884277344,,,,,
3467.0,3468.158203125,6385.384808341966,He,,4MOST,26.164485931396484,,,,,
3514.0,3513.446533203125,6400.072128838009,He,,4MOST,27.04446792602539,,,,,
3584.0,3584.50390625,6423.087797724274,He,,4MOST,27.25847244262696,,,,,
3622.0,3624.373291015625,6435.98597192885,He,,4MOST,27.387136459350582,,,,,
3669.0,3670.773193359375,6450.982462321175,He,,4MOST,26.300439834594727,,,,,
3715.0,3714.79345703125,6465.195359210986,He,,4MOST,26.257080078125,,,,,
3732.0,3731.82763671875,6470.691384112551,He,,4MOST,27.42563819885254,,,,,
3813.0,3812.70556640625,6496.7568013352775,He,,4MOST,37.19459915161133,,,,,
3887.0,3886.51318359375,6520.50015610298,He,,4MOST,27.73440170288086,,,,,
3906.0,3906.53662109375,6526.934267698863,He,,4MOST,27.318309783935547,,,,,
3931.0,3929.31494140625,6534.249781512711,He,,4MOST,27.323007583618164,,,,,
3946.0,3944.878662109375,6539.245892526275,He,,4MOST,27.2663803100586,,,,,
4005.0,4006.974609375,6559.160108813747,He,,4MOST,26.11256217956543,,,,,
4018.0,4018.473388671875,6562.844375040613,He,,4MOST,40.989532470703125,,,,,
4056.0,4055.65380859375,6574.749813480783,He,,4MOST,26.807315826416016,,,,,
4088.0,4088.357666015625,6585.212464481321,He,,4MOST,26.80722999572754,,,,,
4107.0,4106.08740234375,6590.88088645029,He,,4MOST,25.72481918334961,,,,,
4166.0,4166.015625,6610.021275450194,He,,4MOST,25.684871673583984,,,,,
4235.0,4238.89404296875,6633.256836744257,He,,4MOST,26.64689064025879,,,,,
4272.0,4274.43896484375,6644.5729279649495,He,,4MOST,26.33024787902832,,,,,
4284.0,4284.12255859375,6647.653896884076,He,,4MOST,25.781042098999023,,,,,
4303.0,4302.05029296875,6653.355690493005,He,,4MOST,26.453838348388672,,,,,
4331.0,4330.0087890625,6662.242068321159,He,,4MOST,26.499174118041992,,,,,
4381.0,4380.78125,6678.151,He,1.0,4MOST & NIST,32927.234375,100,6678.15174,,3e-05,-0.001
4454.0,4453.94775390625,6701.551229976538,He,,4MOST,28.46709251403809,,,,,
4466.0,4467.56298828125,6705.861061822819,He,,4MOST,26.968563079833984,,,,,
4478.0,4477.49560546875,6709.004112755416,He,,4MOST,28.059629440307617,,,,,
4489.0,4488.9189453125,6712.61776758678,He,,4MOST,26.427404403686523,,,,,
4543.0,4543.01025390625,6729.7126831699225,He,,4MOST,26.372943878173828,,,,,
4557.0,4556.90576171875,6734.099821069015,He,,4MOST,27.061220169067383,,,,,
4571.0,4571.4931640625,6738.703472161378,He,,4MOST,26.932518005371094,,,,,
4596.0,4597.80224609375,6747.001351061929,He,,4MOST,25.70987319946289,,,,,
4614.0,4616.08642578125,6752.764352687338,He,,4MOST,29.125167846679688,,,,,
4637.0,4636.3818359375,6759.15758676733,He,,4MOST,27.37618637084961,,,,,
4669.0,4668.2568359375,6769.190625724948,He,,4MOST,27.45304298400879,,,,,
4695.0,4694.34326171875,6777.39445285945,He,,4MOST,26.29011344909668,,,,,
4703.0,4703.986328125,6780.4254218637225,He,,4MOST,26.936962127685547,,,,,
4750.0,4748.69677734375,6794.466973841119,He,,4MOST,27.232009887695312,,,,,
4756.0,4756.5830078125,6796.941690390415,He,,4MOST,27.08160400390625,,,,,
4834.0,4833.44775390625,6821.030468155936,He,,4MOST,27.801443099975582,,,,,
4847.0,4847.3623046875,6825.385027529344,He,,4MOST,26.80983161926269,,,,,
4858.0,4861.2626953125,6829.733265463294,He,,4MOST,26.773048400878903,,,,,
4875.0,4873.2890625,6833.493755765191,He,,4MOST,27.93966484069824,,,,,
4908.0,4909.3779296875,6844.76975742617,He,,4MOST,27.28581428527832,,,,,
4994.0,4994.0712890625,6871.181837628028,He,,4MOST,29.18012809753418,,,,,
5044.0,5042.5732421875,6886.275417557969,He,,4MOST,25.258724212646484,,,,,
5125.0,5124.23046875,6911.63384690964,He,,4MOST,24.35679054260254,,,,,
5285.0,5285.9482421875,6961.658428802059,He,,4MOST,15.68527603149414,,,,,
5297.0,5297.55712890625,6965.239401909296,He,,4MOST,35.5338020324707,,,,,
5321.0,5319.63427734375,6972.045803399029,He,,4MOST,13.58755588531494,,,,,
5331.0,5331.1826171875,6975.60423637195,He,,4MOST,13.328201293945312,,,,,
5388.0,5387.158203125,6992.833475162459,He,,4MOST,13.00678253173828,,,,,
5403.0,5402.15380859375,6997.443851642588,He,,4MOST,12.323514938354492,,,,,
5493.0,5493.17724609375,7025.381517236816,He,,4MOST,10.973896026611328,,,,,
5622.0,5622.9619140625,7065.19,He,1.0,4MOST & NIST,1361.5135498046875,200*,7065.17716,,5e-05,0.013
5629.0,5624.494140625,7065.71,He,1.0,4MOST & NIST,1160.5904541015625,30,7065.70863,,5e-05,0.0
