CONF FIE WVL CX_IDA CY_IDA CX_DET CY_DET MAG_Y RMS_X RMS_Y
1 1 3510.000 -0.000 0.039 -11.985 -25.607 0.03313 3.73 4.34
1 2 3510.000 16.616 0.036 -11.409 -25.617 0.03312 4.88 5.78
1 3 3510.000 -16.644 0.127 -12.558 -25.601 0.03311 2.99 2.86
1 1 3520.000 -0.000 0.039 -11.985 -25.377 0.03313 3.55 4.44
1 2 3520.000 16.616 0.036 -11.410 -25.387 0.03312 4.74 5.85
1 3 3520.000 -16.644 0.127 -12.558 -25.371 0.03311 2.77 2.85
1 1 3530.000 -0.000 0.039 -11.986 -25.147 0.03313 3.41 4.55
1 2 3530.000 16.616 0.036 -11.411 -25.157 0.03312 4.62 5.93
1 3 3530.000 -16.644 0.127 -12.559 -25.141 0.03311 2.57 2.86
1 1 3540.000 -0.000 0.039 -11.987 -24.916 0.03313 3.29 4.66
1 2 3540.000 16.616 0.036 -11.412 -24.927 0.03312 4.52 6.00
1 3 3540.000 -16.644 0.127 -12.560 -24.911 0.03310 2.42 2.88
1 1 3550.000 -0.000 0.039 -11.988 -24.686 0.03313 3.19 4.76
1 2 3550.000 16.616 0.036 -11.412 -24.696 0.03312 4.45 6.08
1 3 3550.000 -16.644 0.127 -12.561 -24.680 0.03310 2.29 2.93
1 1 3560.000 -0.000 0.039 -11.989 -24.455 0.03313 3.12 4.87
1 2 3560.000 16.616 0.036 -11.413 -24.465 0.03312 4.39 6.16
1 3 3560.000 -16.644 0.127 -12.562 -24.450 0.03310 2.20 2.98
1 1 3570.000 -0.000 0.039 -11.989 -24.224 0.03313 3.07 4.97
1 2 3570.000 16.616 0.036 -11.414 -24.234 0.03312 4.34 6.23
1 3 3570.000 -16.644 0.127 -12.562 -24.219 0.03310 2.14 3.05
1 1 3580.000 -0.000 0.039 -11.990 -23.993 0.03313 3.04 5.07
1 2 3580.000 16.616 0.036 -11.414 -24.003 0.03312 4.31 6.31
1 3 3580.000 -16.644 0.127 -12.563 -23.987 0.03310 2.11 3.12
1 1 3590.000 -0.000 0.039 -11.991 -23.761 0.03314 3.02 5.17
1 2 3590.000 16.616 0.036 -11.415 -23.772 0.03313 4.28 6.37
1 3 3590.000 -16.644 0.127 -12.564 -23.756 0.03310 2.09 3.19
1 1 3600.000 -0.000 0.039 -11.992 -23.529 0.03314 3.01 5.25
1 2 3600.000 16.616 0.036 -11.416 -23.540 0.03313 4.26 6.44
1 3 3600.000 -16.644 0.127 -12.564 -23.524 0.03310 2.10 3.26
1 1 3610.000 -0.000 0.039 -11.992 -23.298 0.03314 3.01 5.34
1 2 3610.000 16.616 0.036 -11.416 -23.308 0.03313 4.25 6.50
1 3 3610.000 -16.644 0.127 -12.565 -23.293 0.03310 2.12 3.33
1 1 3620.000 -0.000 0.039 -11.993 -23.066 0.03314 3.02 5.41
1 2 3620.000 16.616 0.036 -11.417 -23.076 0.03313 4.25 6.55
1 3 3620.000 -16.644 0.127 -12.566 -23.061 0.03310 2.15 3.40
1 1 3630.000 -0.000 0.039 -11.993 -22.833 0.03314 3.03 5.48
1 2 3630.000 16.616 0.036 -11.417 -22.844 0.03314 4.24 6.60
1 3 3630.000 -16.644 0.127 -12.566 -22.829 0.03311 2.19 3.46
1 1 3640.000 -0.000 0.039 -11.994 -22.601 0.03315 3.05 5.55
1 2 3640.000 16.616 0.036 -11.418 -22.612 0.03314 4.24 6.65
1 3 3640.000 -16.644 0.127 -12.567 -22.596 0.03311 2.23 3.53
1 1 3650.000 -0.000 0.039 -11.994 -22.368 0.03315 3.07 5.61
1 2 3650.000 16.616 0.036 -11.418 -22.379 0.03314 4.24 6.69
1 3 3650.000 -16.644 0.127 -12.567 -22.364 0.03311 2.27 3.59
1 1 3660.000 -0.000 0.039 -11.995 -22.136 0.03315 3.08 5.66
1 2 3660.000 16.616 0.036 -11.419 -22.146 0.03314 4.24 6.72
1 3 3660.000 -16.644 0.127 -12.568 -22.131 0.03311 2.32 3.64
1 1 3670.000 -0.000 0.039 -11.995 -21.903 0.03315 3.10 5.71
1 2 3670.000 16.616 0.036 -11.419 -21.913 0.03315 4.24 6.75
1 3 3670.000 -16.644 0.127 -12.568 -21.898 0.03311 2.36 3.69
1 1 3680.000 -0.000 0.039 -11.996 -21.670 0.03316 3.11 5.75
1 2 3680.000 16.616 0.036 -11.420 -21.680 0.03315 4.24 6.78
1 3 3680.000 -16.644 0.127 -12.569 -21.665 0.03311 2.41 3.74
1 1 3690.000 -0.000 0.039 -11.996 -21.436 0.03316 3.13 5.78
1 2 3690.000 16.616 0.036 -11.420 -21.447 0.03315 4.24 6.80
1 3 3690.000 -16.644 0.127 -12.569 -21.432 0.03312 2.45 3.78
1 1 3700.000 -0.000 0.039 -11.997 -21.203 0.03316 3.14 5.82
1 2 3700.000 16.616 0.036 -11.421 -21.213 0.03316 4.24 6.82
1 3 3700.000 -16.644 0.127 -12.570 -21.198 0.03312 2.48 3.82
1 1 3710.000 -0.000 0.039 -11.997 -20.969 0.03317 3.15 5.84
1 2 3710.000 16.616 0.036 -11.421 -20.980 0.03316 4.23 6.83
1 3 3710.000 -16.644 0.127 -12.570 -20.965 0.03312 2.52 3.86
1 1 3720.000 -0.000 0.039 -11.998 -20.736 0.03317 3.15 5.86
1 2 3720.000 16.616 0.036 -11.421 -20.746 0.03316 4.22 6.84
1 3 3720.000 -16.644 0.127 -12.570 -20.731 0.03312 2.55 3.89
1 1 3730.000 -0.000 0.039 -11.998 -20.502 0.03317 3.16 5.88
1 2 3730.000 16.616 0.036 -11.422 -20.512 0.03316 4.21 6.84
1 3 3730.000 -16.644 0.127 -12.571 -20.497 0.03312 2.58 3.92
1 1 3740.000 -0.000 0.039 -11.998 -20.268 0.03317 3.16 5.89
1 2 3740.000 16.616 0.036 -11.422 -20.278 0.03317 4.20 6.84
1 3 3740.000 -16.644 0.127 -12.571 -20.263 0.03313 2.60 3.94
1 1 3750.000 -0.000 0.039 -11.999 -20.033 0.03318 3.15 5.90
1 2 3750.000 16.616 0.036 -11.422 -20.044 0.03317 4.18 6.84
1 3 3750.000 -16.644 0.127 -12.572 -20.029 0.03313 2.62 3.96
1 1 3760.000 -0.000 0.039 -11.999 -19.799 0.03318 3.15 5.90
1 2 3760.000 16.616 0.036 -11.423 -19.809 0.03317 4.16 6.83
1 3 3760.000 -16.644 0.127 -12.572 -19.794 0.03313 2.64 3.98
1 1 3770.000 -0.000 0.039 -11.999 -19.564 0.03318 3.14 5.90
1 2 3770.000 16.616 0.036 -11.423 -19.575 0.03318 4.14 6.82
1 3 3770.000 -16.644 0.127 -12.572 -19.560 0.03314 2.65 4.00
1 1 3780.000 -0.000 0.039 -12.000 -19.330 0.03319 3.12 5.90
1 2 3780.000 16.616 0.036 -11.423 -19.340 0.03318 4.12 6.81
1 3 3780.000 -16.644 0.127 -12.572 -19.325 0.03314 2.66 4.01
1 1 3790.000 -0.000 0.039 -12.000 -19.095 0.03319 3.11 5.89
1 2 3790.000 16.616 0.036 -11.424 -19.105 0.03318 4.09 6.79
1 3 3790.000 -16.644 0.127 -12.573 -19.090 0.03314 2.67 4.02
1 1 3800.000 -0.000 0.039 -12.000 -18.860 0.03319 3.09 5.89
1 2 3800.000 16.616 0.036 -11.424 -18.870 0.03319 4.06 6.77
1 3 3800.000 -16.644 0.127 -12.573 -18.855 0.03314 2.68 4.02
1 1 3810.000 -0.000 0.039 -12.000 -18.625 0.03320 3.07 5.87
1 2 3810.000 16.616 0.036 -11.424 -18.635 0.03319 4.03 6.75
1 3 3810.000 -16.644 0.127 -12.573 -18.620 0.03315 2.68 4.03
1 1 3820.000 -0.000 0.039 -12.001 -18.390 0.03320 3.04 5.86
1 2 3820.000 16.616 0.036 -11.424 -18.400 0.03319 4.00 6.73
1 3 3820.000 -16.644 0.127 -12.573 -18.385 0.03315 2.68 4.03
1 1 3830.000 -0.000 0.039 -12.001 -18.154 0.03320 3.02 5.84
1 2 3830.000 16.616 0.036 -11.424 -18.165 0.03320 3.97 6.70
1 3 3830.000 -16.644 0.127 -12.574 -18.150 0.03315 2.68 4.03
1 1 3840.000 -0.000 0.039 -12.001 -17.919 0.03321 2.99 5.82
1 2 3840.000 16.616 0.036 -11.425 -17.929 0.03320 3.93 6.68
1 3 3840.000 -16.644 0.127 -12.574 -17.914 0.03315 2.68 4.03
1 1 3850.000 -0.000 0.039 -12.001 -17.683 0.03321 2.96 5.80
1 2 3850.000 16.616 0.036 -11.425 -17.693 0.03320 3.90 6.65
1 3 3850.000 -16.644 0.127 -12.574 -17.679 0.03316 2.67 4.02
1 1 3860.000 -0.000 0.039 -12.001 -17.447 0.03321 2.93 5.78
1 2 3860.000 16.616 0.036 -11.425 -17.458 0.03321 3.86 6.62
1 3 3860.000 -16.644 0.127 -12.574 -17.443 0.03316 2.67 4.02
1 1 3870.000 -0.000 0.039 -12.002 -17.211 0.03322 2.90 5.76
1 2 3870.000 16.616 0.036 -11.425 -17.222 0.03321 3.82 6.58
1 3 3870.000 -16.644 0.127 -12.574 -17.207 0.03316 2.66 4.01
1 1 3880.000 -0.000 0.039 -12.002 -16.975 0.03322 2.87 5.73
1 2 3880.000 16.616 0.036 -11.425 -16.986 0.03321 3.78 6.55
1 3 3880.000 -16.644 0.127 -12.575 -16.971 0.03317 2.65 4.01
1 1 3890.000 -0.000 0.039 -12.002 -16.739 0.03322 2.83 5.70
1 2 3890.000 16.616 0.036 -11.425 -16.750 0.03322 3.74 6.52
1 3 3890.000 -16.644 0.127 -12.575 -16.735 0.03317 2.65 4.00
1 1 3900.000 -0.000 0.039 -12.002 -16.503 0.03322 2.80 5.68
1 2 3900.000 16.616 0.036 -11.425 -16.513 0.03322 3.70 6.48
1 3 3900.000 -16.644 0.127 -12.575 -16.499 0.03317 2.64 3.99
1 1 3910.000 -0.000 0.039 -12.002 -16.266 0.03323 2.76 5.65
1 2 3910.000 16.616 0.036 -11.426 -16.277 0.03322 3.66 6.44
1 3 3910.000 -16.644 0.127 -12.575 -16.262 0.03318 2.63 3.98
1 1 3920.000 -0.000 0.039 -12.002 -16.030 0.03323 2.72 5.62
1 2 3920.000 16.616 0.036 -11.426 -16.040 0.03323 3.61 6.41
1 3 3920.000 -16.644 0.127 -12.575 -16.026 0.03318 2.63 3.97
1 1 3930.000 -0.000 0.039 -12.002 -15.793 0.03323 2.69 5.59
1 2 3930.000 16.616 0.036 -11.426 -15.804 0.03323 3.57 6.37
1 3 3930.000 -16.644 0.127 -12.575 -15.789 0.03318 2.62 3.96
1 1 3940.000 -0.000 0.039 -12.002 -15.557 0.03324 2.65 5.55
1 2 3940.000 16.616 0.036 -11.426 -15.567 0.03323 3.53 6.33
1 3 3940.000 -16.644 0.127 -12.575 -15.552 0.03318 2.61 3.95
1 1 3950.000 -0.000 0.039 -12.002 -15.320 0.03324 2.62 5.52
1 2 3950.000 16.616 0.036 -11.426 -15.330 0.03324 3.49 6.29
1 3 3950.000 -16.644 0.127 -12.575 -15.316 0.03319 2.61 3.94
