lambda,norm_amp
5616.214899298639,1
5620.229169616709,1
5624.24697339645,1
5627.940990377438,1
5632.044719454565,1
5636.334951934879,1
5644.1248362961705,1
5648.095151434466,1
5652.164792759887,1
5656.088087502943,1
5660.081301889318,1
5664.143188430456,1
5668.109838328412,1
5672.145649077551,1
5676.158858333272,1
5680.194319686776,1
5684.402790586577,1
5688.329233441632,1
5692.351070740626,1
5696.372393312034,1
5700.728243371818,1
5704.645491610051,1
5708.728784852731,1
5712.818324552996,1
5716.906121399325,1
5721.083971410187,1
5725.1596209200825,1
5729.287162371398,1
5733.432941943567,1
5737.575205369132,1
5741.70246388024,1
5745.820154288196,1
5749.913947408442,1
5754.050045476046,1
5758.1949318107845,1
5762.366920713553,1
5766.475620431531,1
5770.669583526193,1
5774.864954618135,1
5779.046706219645,1
5783.205630357214,1
5787.550660946452,1
5791.68460284706,1
5795.850179877702,1
5800.104544315353,1
5804.362040590089,1
5808.547902925562,1
5812.755384217747,1
5816.97382893444,1
5821.254364880954,1
5825.467683490317,1
5829.718640423048,1
5833.9774288884,1
5838.248871202108,1
5842.521574047775,1
5846.806586935351,1
5851.152531823441,1
5855.438341979412,1
5859.747381612037,1
5864.078896998846,1
5868.396914440051,1
5872.712894548765,1
5877.013232393819,1
5881.31306588336,1
5885.679875059913,1
5890.01173348884,1
5894.367656609988,1
5898.707177098242,1
5903.064394798647,1
5907.430647442738,1
5911.807959265896,1
5916.194384152693,1
5920.580308858733,1
5924.972615355502,1
5929.378646921242,1
5933.795250667279,1
5938.209796838064,1
5942.639280467103,1
5947.075213184559,1
5951.522891393302,1
5955.973753821545,1
5960.407920522478,1
5964.858609894402,1
5969.33317283439,1
5973.788261161554,1
5978.267804591436,1
5982.749121027375,1
5987.242493429988,1
5991.730561578132,1
5996.231522681735,1
6000.741430464395,1
6005.2603306400815,1
6009.777152098269,1
6014.306025177126,1
6018.842057266119,1
6023.3960568243965,1
6027.939864412881,1
6032.493080579669,1
6037.07277270551,1
6041.634303349471,1
6046.216115614652,1
6050.797679040738,1
6055.394661043501,1
6059.99156452576,1
6064.599497497789,1
6069.207787831085,1
6073.850890530132,1
6078.468543563284,1
6083.097833298255,1
6087.738841640221,1
6092.394138709654,1
6097.032054554764,1
6101.69499721272,1
6106.371779033829,1
6111.046974922134,1
6115.735870805984,1
6120.431542264914,1
6125.137662575788,1
6129.833233913945,1
6134.544317940043,1
6139.2667120200695,1
6143.999712333784,1
6148.71601025933,1
6153.465215938767,1
6158.195946652754,1
6162.947930994584,1
6167.708674702642,1
6172.474867715388,1
6177.263081716175,1
6182.0460326620105,1
6186.85247915468,1
6191.621215301918,1
6196.435231382622,1
6201.262622624255,1
6206.071372885909,1
6210.8855934401245,1
6215.709911359524,1
6220.570809053701,1
6225.405820906328,1
6230.267738530247,1
6235.116734954749,1
6239.986714080769,1
6244.883443982858,1
6249.765963029749,1
6254.651846204753,1
6259.54157003705,1
6264.433581603692,1
6269.369601273431,1
6274.285477179909,1
6279.208154638391,1
6284.153974014254,1
6289.097597673029,1
6294.076054563402,1
6299.034116717369,1
6304.089802331887,1
6309.052084608464,1
6314.091853719488,1
6319.049665622429,1
6324.0841097764205,1
6329.02595167678,1
6334.0524482424535,1
6339.0774330743525,1
6344.101371271623,1
6349.163189328887,1
6354.156305924562,1
6359.220830897657,1
6364.270967196669,1
6369.3227711994605,1
6374.3852940143415,1
6379.472097163263,1
6384.588042132457,1
6389.709355189163,1
6394.906153383516,1
6400.089239424278,1
6405.186580096998,1
6410.325043818212,1
6415.366521405715,1
6420.528784712053,1
6425.673304165021,1
6430.848332035273,1
6435.999164653925,1
6441.138649088141,1
6446.339882285827,1
6451.626413184284,1
6456.940822300505,1
6462.159832178259,1
6467.396863730093,1
6472.56839765376,1
6477.784950851773,1
6483.017541999059,1
6488.234912684199,1
6493.459916542119,1
6498.726150871762,1
6503.994123019224,1
6509.311398326465,1
6514.782664690551,1
6520.084885106213,1
6525.328404196769,1
6530.6343008578015,1
6535.921792951467,1
6541.263964565591,1
6546.552771421718,1
6551.954016136419,1
6557.480291582412,1
6562.870579262004,1
6568.161182211887,1
6573.559124086485,1
6578.865926840417,1
6584.256195728766,1
6589.668625860378,1
6595.130695667268,1
6600.760593890148,1
6606.126278114523,1
6611.565918654458,1
6616.999844083663,1
6622.414483379013,1
6627.795538798918,1
6633.358137795962,1
6639.022093454558,1
6644.456049020323,1
6649.956745404928,1
6655.407336423625,1
6660.859209664439,1
6666.435719360902,1
6672.090605420874,1
6677.727347395987,1
6683.238284586946,1
6688.750206561328,1
6694.2944656174805,1
6699.920386835864,1
6705.638948489894,1
6711.254109412772,1
6716.811145089283,1
6722.382317867239,1
6727.935464936289,1
6733.794410297151,1
6739.503720120764,1
6745.0871606607525,1
6750.671441045399,1
6756.2801984741145,1
6762.021908245017,1
6767.958849402527,1
6773.550525080407,1
6779.273905308532,1
6784.858641277705,1
6790.606756742334,1
6796.464832998514,1
6802.265541578707,1
6807.978017567256,1
6813.644257097477,1
6819.564469027868,1
6825.263212884604,1
6831.245950588149,1
6836.9872213052695,1
6842.62678570937,1
6848.768905875104,1
6854.564287994047,1
6860.2790777834425,1
6866.095891192846,1
6871.9990705977225,1
