lambda,norm_amp
3950.924,0.011198968290876384
3967.5411,0.012057784903433628
4078.8202,0.011538483655278733
4109.7089,0.004442220843570141
4116.1147,0.006309532187964241
4193.15,0.022308079853411385
4203.695,0.006759483253540936
4383.908,0.011027397826492607
4500.978,0.1569812607522196
4524.6805,0.061951541803206854
4582.7472,0.03761011070575308
4611.8882,0.006704374675189857
4624.2756,0.47970381950317215
4671.2258,1.0
4690.97,0.03154070541459653
4697.0208,0.14391679179369365
4734.1518,0.2531495736626015
4792.619,0.021394481426492303
4807.019,0.2474007373196977
4829.708,0.15318938362259424
4843.2934,0.12386951787044634
4916.507,0.15425269385580215
4923.152,0.1738978931120361
5028.2794,0.02641537350323228
5392.795,0.005630848856441921
5439.923,0.004557392517150461
5532.78,0.004959909326159563
5552.385,0.007046749645585714
5566.615,0.009359179232999082
5579.28,0.005861670138045591
5581.784,0.005714588866087725
5618.878,0.008435874736554116
5696.477,0.010537234156945673
5716.1,0.014578994783418403
5814.505,0.0047793128487481325
5823.89,0.04965433490363305
5875.018,0.021489930198360967
5894.988,0.033661646251261106
5931.241,0.015314289554989757
5934.172,0.028677606078236002
5974.152,0.004418141369393632
6111.951,0.007857788815169136
6163.661,0.014848320737625846
6178.303,0.01693327374236154
6182.42,0.028881830202813045
6198.26,0.009716878002792624
6200.892,0.006083173592904405
6261.212,0.005772500624691899
6286.011,0.005534579384811611
6292.649,0.005763069104290992
6318.062,0.04130192731195022
6469.705,0.029213913370810536
6472.841,0.01571953753826979
6487.765,0.01660825642454385
6498.717,0.012581948029191383
6504.18,0.010534145058201988
6533.159,0.008141983373062447
6554.196,0.005511784648948485
6595.561,0.014029111626136074
6632.464,0.007628054360699797
6666.965,0.010453159803733555
6668.92,0.03492172230520905
6728.008,0.055697359897884706
6827.315,0.04215816013090178
6846.613,0.015278667227110701
6866.838,0.008331962103623828
6872.107,0.03244643455616638
6882.155,0.09213076316005919
6925.53,0.008768359622136318
6976.182,0.009090723245804242
