lambda,norm_amp
3819.6074,0.00036403381350287405
3888.648,0.12814933322936503
3964.7291,0.0033251165099957482
4026.1914,0.010851588967537802
4120.8154,0.0013507433534782464
4143.761,0.000509151294412502
4387.9296,0.004064720502932878
4437.551,0.00036991794775195774
4471.4802,0.18959620522072976
4713.1457,0.02048799238865461
4921.9313,0.050167035389581026
5015.6783,0.18068130717727776
5047.738,0.003907097747047257
5875.621,1.0
6678.151,0.44531880651162714
7065.19,0.018413559491311886
7065.71,0.015696209101050417
