lambda,norm_amp
3876.1486,0.04258989202588489
3888.611413,0.010203355779428455
4271.7359,0.0028196525675924515
4555.2799,1.0
4593.1721,0.6046609989335355
5059.8686,0.003530388027947156
5152.6813,0.008084799795800988
5196.7343,0.013661185043199882
5256.5942,0.023339534999935043
5340.9418,0.025876252598744414
5340.9418,0.028706895953576318
5349.13,0.012540872495835909
5349.1315,0.012235921544491725
5406.6672,0.011808293285555016
5413.6145,0.003567178533446003
5413.6145,0.04863216962631226
5465.9443,0.1638781464934026
5502.8843,0.12057391653862401
5568.4078,0.03282297912560148
5573.674,0.026146510207588552
5635.2123,0.27913748061644716
5664.0183,0.3910059970419291
5838.8347,0.07875761046804367
5845.141,0.47927209764389694
5882.888,0.0033083494057137538
6010.4905,0.5061975699254656
6034.0895,0.060182419211083985
6116.536,0.002529091691340222
6193.6689,0.0043561512448827226
6213.0998,0.5895770616049562
6217.5986,0.07601173632541773
6354.5548,0.0776118759224288
6586.5096,0.17467386028252452
6628.6576,0.05218990227618714
6723.2838,0.9098324757132301
6870.4544,0.1088610516662474
6973.2966,0.5840355995998692
6983.4912,0.08299047351770689
