lambda,norm_amp
3790.0,0.00033371434575226973
3820.4,0.0002693935775121436
3839.259,0.001636264567279366
3860.85,0.00026519599100968607
3901.868,0.0012052229464119592
3906.371,0.004579500846674877
3983.9312,0.001474266486210662
4046.565,0.7971323803026544
4077.837,0.06864700357940248
4108.054,0.002361322293381428
4140.0,0.00014700584899662243
4339.2232,0.023745816116503348
4347.4945,0.07022936223065883
4358.335,0.9773832042740193
4916.328,0.019565685967236065
4960.1,0.0018883860305151815
5025.607,0.0005201772942694951
5045.8,0.0004304908238443497
5365.5,0.0003744453408274766
5365.5,0.000407872130895576
5460.75,0.04672184819878088
5460.75,1.0
5675.81,0.0018675347495248874
5769.61,0.8813256968316973
5790.67,0.8544089112946096
5803.782,0.005976720317096076
5818.3,0.0010171285885392672
5859.254,0.0010399364684091704
5871.975,0.00046196785572042673
5890.2,0.0007990488742588132
6072.64,0.0008536369663601785
6123.27,0.0011415747015803305
6234.36,0.0016088851613444467
6716.34,0.0010479065994818061
