lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
5769.716796875,Zn,,4MOST,11.684122085571287,,,,,
5772.1,Zn,1.0,4MOST & NIST,12.3800687789917,490000.0,5772.050,0.05,0.004,0.05
5775.5,Zn,1.0,NIST,,210000.0,5775.452,0.05,0.003,0.05
5777.11,Zn,1.0,NIST,,85000.0,5777.033,0.05,0.006,0.08
5790.76806640625,Zn,,4MOST,10.190386772155762,,,,,
5888.82763671875,Zn,,4MOST,12.171887397766112,,,,,
5894.3607,Zn,2.0,4MOST & NIST,83.8997573852539,500.0,5894.37+,,,-0.01
6021.18,Zn,2.0,NIST,,500.0,6021.2+,,,0.0
6032.2919921875,Zn,,4MOST,28.311220169067383,,,,,
6043.38720703125,Zn,,4MOST,13.665419578552246,,,,,
6102.49,Zn,2.0,NIST,,500.0,6102.5+,,,0.0
6111.53,Zn,2.0,NIST,,100.0,6111.6+,,,0.0
6141.806640625,Zn,,4MOST,13.333505630493164,,,,,
6214.5778,Zn,2.0,4MOST & NIST,11.754640579223633,500.0,6214.63+,,,-0.06
6237.896,Zn,1.0,NIST,,93000.0,6237.8967,0.003,0.0012,-0.001
6239.169,Zn,1.0,NIST,,38000.0,6239.1690,0.003,0.0012,0.0
6362.3458,Zn,1.0,4MOST & NIST,12171.125,240000.0,6362.3458,0.0004,0.0004,0.0
6416.3056640625,Zn,,4MOST,12.51877498626709,,,,,
6479.184,Zn,1.0,NIST,,55000.0,6479.184,0.003,0.003,0.0
6752.83251953125,Zn,,4MOST,16.55779457092285,,,,,
6871.205078125,Zn,,4MOST,11.864327430725098,,,,,
6928.316,Zn,1.0,4MOST & NIST,23.58897590637207,40000.0,6928.295,0.013,0.003,0.021
6938.166015625,Zn,,4MOST,13.385986328125,,,,,
6938.469,Zn,1.0,NIST,,20000.0,6938.449,0.019,0.004,0.02
6943.199,Zn,1.0,NIST,,7000.0,6943.184,0.013,0.004,0.015
6965.30517578125,Zn,,4MOST,200.15557861328125,,,,,
7067.00439453125,Zn,,4MOST,17.439374923706055,,,,,
,Zn,1.0,NIST,,,3879.141,,0.024,
