lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3298.72,Xe,2.0,NIST,,6,3298.730+,,,-0.01
3310.85,Xe,2.0,NIST,,1h,3310.863+,,,-0.01
3311.8,Xe,2.0,NIST,,2,3311.823+,,,-0.02
3313.48,Xe,2.0,NIST,,2h,3313.515+,,,-0.03
3316.39,Xe,2.0,NIST,,6h,3316.371+,,,0.02
3320.57,Xe,2.0,NIST,,1h,3320.619+,,,-0.05
3327.46,Xe,2.0,NIST,,15,3327.483+,,,-0.02
3338.8,Xe,2.0,NIST,,4h,3338.821+,,,-0.02
3339.49,Xe,2.0,NIST,,3,3339.575+,,,-0.09
3340.04,Xe,1.0,NIST,,1-,3340.04+,0.01,,0.0
3347.27,Xe,2.0,NIST,,3H,3347.292+,,,-0.02
3348.63,Xe,1.0,NIST,,1-,3348.676+,0.01,,-0.046
3353.44,Xe,2.0,NIST,,1h^,3353.419+,,,0.02
3358.17,Xe,1.0,NIST,,1h-,3358.167+,0.01,,0.003
3358.96,Xe,1.0,NIST,,1h-,3358.957+,0.01,,0.003
3366.72,Xe,2.0,NIST,,300h,3366.747+,,,-0.03
3370.34,Xe,1.0,NIST,,1h,3370.355+,0.01,,-0.015
3373.92,Xe,2.0,NIST,,2h,3373.914+,,,0.01
3375.16,Xe,2.0,NIST,,3h,3375.192+,,,-0.03
3381.34,Xe,2.0,NIST,,1h^,3381.334+,,,0.01
3383.2,Xe,1.0,NIST,,1,3383.197+,0.01,,0.003
3384.13,Xe,2.0,NIST,,40h,3384.150+,,,-0.02
3384.36,Xe,1.0,NIST,,1,3384.358+,0.01,,0.002
3386.3,Xe,2.0,NIST,,2h,3386.281+,,,0.02
3388.05,Xe,2.0,NIST,,2,3388.087+,,,-0.04
3395.5,Xe,2.0,NIST,,3,3395.519+,,,-0.02
3399.37,Xe,2.0,NIST,,1,3399.380+,,,-0.01
3400.07,Xe,1.0,NIST,,2,3400.132+,0.01,,-0.062
3400.79,Xe,1.0,NIST,,1-,3400.879+,0.01,,-0.089
3412.58,Xe,2.0,NIST,,1H-,3412.615+,,,-0.03
3413.2,Xe,2.0,NIST,,6H,3413.201+,,,0.0
3417.04,Xe,2.0,NIST,,1-,3417.004+,,,0.04
3418.37,Xe,1.0,NIST,,2,3418.367+,0.01,,0.003
3420.0,Xe,1.0,NIST,,2,3419.998+,0.01,,0.002
3420.73,Xe,2.0,NIST,,40,3420.739+,,,-0.01
3432.49,Xe,2.0,NIST,,1,3432.525+,,,-0.04
3436.48,Xe,2.0,NIST,,1-,3436.475+,,,0.01
3442.66,Xe,1.0,NIST,,3,3442.686+,0.01,,-0.026
3443.83,Xe,1.0,NIST,,1*,3443.879+,0.01,,-0.049
3443.83,Xe,1.0,NIST,,1*,3443.754+,0.01,,0.076
3446.34,Xe,2.0,NIST,,25h,3446.322+,,,0.02
3460.08,Xe,2.0,NIST,,8,3460.090+,,,-0.01
3461.26,Xe,2.0,NIST,,100h,3461.249+,,,0.01
3462.81,Xe,2.0,NIST,,1-,3462.839+,,,-0.03
3464.17,Xe,2.0,NIST,,1h,3464.166+,,,0.0
3467.68,Xe,2.0,NIST,,1-,3467.677+,,,0.0
3469.81,Xe,1.0,NIST,,4,3469.800+,0.01,,0.01
3472.36,Xe,1.0,NIST,,4,3472.358+,0.01,,0.002
3474.23,Xe,2.0,NIST,,20h,3474.265+,,,-0.03
3482.21,Xe,2.0,NIST,,2h,3482.292+,,,-0.08
3485.23,Xe,2.0,NIST,,1h,3485.191+,,,0.04
3496.86,Xe,1.0,NIST,,1,3496.856+,0.01,,0.004
3500.36,Xe,2.0,NIST,,30,3500.353+,,,0.01
3503.15,Xe,2.0,NIST,,15,3503.146+,,,0.0
3504.25,Xe,2.0,NIST,,1,3504.290+,,,-0.04
3506.56,Xe,2.0,NIST,,15,3506.554+,,,0.01
3506.74,Xe,1.0,NIST,,5,3506.7334+,0.01,,0.007
3508.42,Xe,1.0,NIST,,2,3508.3842+,0.01,,0.036
3508.88,Xe,2.0,NIST,,20,3508.866+,,,0.01
3509.78,Xe,2.0,NIST,,,3509.787+,,,-0.01
3513.57,Xe,2.0,NIST,,1,3513.611+,,,-0.04
3516.71,Xe,2.0,NIST,,2,3516.747+,,,-0.04
3517.9,Xe,1.0,NIST,,2*,3517.956+,0.01,,-0.056
3517.9,Xe,1.0,NIST,,2*,3517.876+,0.01,,0.024
3521.53,Xe,2.0,NIST,,2,3521.556+,,,-0.03
3530.21,Xe,2.0,NIST,,3H,3530.187+,,,0.02
3533.48,Xe,1.0,NIST,,2,3533.475+,0.01,,0.005
3534.61,Xe,2.0,NIST,,1h^,3534.651+,,,-0.04
3536.61,Xe,1.0,NIST,,1-,3536.592+,0.01,,0.018
3537.35,Xe,1.0,NIST,,1,3537.346+,0.01,,0.004
3538.08,Xe,2.0,NIST,,2,3538.064+,,,0.02
3539.41,Xe,2.0,NIST,,0,3539.268+,,,0.14
3546.29,Xe,2.0,NIST,,1h,3546.316+,,,-0.03
3548.69,Xe,2.0,NIST,,2h,3548.673+,,,0.02
3549.86,Xe,1.0,NIST,,10,3549.865+,0.01,,-0.005
3554.04,Xe,1.0,NIST,,10,3554.037+,0.01,,0.003
3555.92,Xe,1.0,NIST,,1,3555.917+,0.01,,0.003
3557.88,Xe,2.0,NIST,,2bl,3557.875+,,,0.01
3561.75,Xe,2.0,NIST,,1-^,3561.706+,,,0.04
3562.5,Xe,2.0,NIST,,1-^,3562.514+,,,-0.01
3563.8,Xe,1.0,NIST,,3,3563.771+,0.01,,0.029
3564.3,Xe,2.0,NIST,,20,3564.278+,,,0.02
3578.58,Xe,2.0,NIST,,2,3578.575+,,,0.01
3587.02,Xe,1.0,NIST,,4,3587.016+,0.01,,0.004
3588.62,Xe,2.0,NIST,,6h,3588.627+,,,-0.01
3589.02,Xe,2.0,NIST,,2bl,3588.916+,,,0.1
3589.88,Xe,2.0,NIST,,1H,3589.864+,,,0.02
3591.67,Xe,1.0,NIST,,1,3591.672+,0.01,,-0.002
3592.8,Xe,1.0,NIST,,2,3592.796+,0.01,,0.004
3604.83,Xe,2.0,NIST,,3h,3604.819+,,,0.01
3607.41,Xe,2.0,NIST,,8,3607.398+,,,0.01
3610.32,Xe,1.0,NIST,,15,3610.3081+,0.01,,0.012
3611.52,Xe,2.0,NIST,,1h,3611.486+,,,0.03
3612.37,Xe,2.0,NIST,,20,3612.356+,,,0.01
3613.06,Xe,1.0,NIST,,8,3613.0476+,0.01,,0.012
3617.94,Xe,2.0,NIST,,1,3618.033+,,,-0.09
3621.98,Xe,2.0,NIST,,3h,3621.918+,,,0.06
3633.06,Xe,1.0,NIST,,6,3633.0300+,0.01,,0.03
3634.48,Xe,2.0,NIST,,1-,3634.488+,,,-0.01
3644.43,Xe,2.0,NIST,,5,3644.436+,,,-0.01
3644.91,Xe,2.0,NIST,,5,3644.895+,,,0.02
3645.29,Xe,2.0,NIST,,3,3645.33+,,,-0.04
3654.44,Xe,2.0,NIST,,3bl,3654.321+,,,0.12
3657.74,Xe,2.0,NIST,,5,3657.736+,,,0.0
3658.44,Xe,2.0,NIST,,6h,3658.429+,,,0.01
3661.7,Xe,2.0,NIST,,20H,3661.678+,,,0.02
3663.93,Xe,2.0,NIST,,5h,3663.954+,,,-0.02
3665.47,Xe,2.0,NIST,,1,3665.296+,,,0.17
3669.91,Xe,1.0,NIST,,10,3669.905+,0.01,,0.005
3672.57,Xe,2.0,NIST,,20,3672.572+,,,0.0
3674.04,Xe,2.0,NIST,,1-,3674.002+,,,0.04
3677.54,Xe,1.0,NIST,,2,3677.529+,0.01,,0.011
3679.31,Xe,1.0,NIST,,4,3679.306+,0.01,,0.004
3684.07,Xe,2.0,NIST,,1,3684.176+,,,-0.11
3685.9,Xe,1.0,NIST,,40,3685.900+,0.01,,0.0
3688.8,Xe,1.0,NIST,,1,3688.808+,0.01,,-0.008
3690.74,Xe,2.0,NIST,,1,3690.793+,,,-0.05
3691.84,Xe,2.0,NIST,,1h,3691.840+,,,0.0
3693.49,Xe,1.0,NIST,,40,3693.487+,0.01,,0.003
3696.82,Xe,1.0,NIST,,4,3696.817+,0.01,,0.003
3698.49,Xe,2.0,NIST,,1h,3698.506+,,,-0.02
3702.74,Xe,1.0,NIST,,2,3702.732+,0.01,,0.008
3711.64,Xe,2.0,NIST,,20H,3711.666+,,,-0.03
3715.69,Xe,2.0,NIST,,2H,3715.670+,,,0.02
3717.2,Xe,2.0,NIST,,20,3717.185+,,,0.02
3720.8,Xe,2.0,NIST,,40,3720.803+,,,0.0
3731.0,Xe,2.0,NIST,,0bl,3731.004+,,,0.0
3731.18,Xe,2.0,NIST,,20,3731.174+,,,0.01
3737.81,Xe,1.0,NIST,,5,3737.76+,0.2,,0.05
3741.11,Xe,2.0,NIST,,0,3741.292+,,,-0.18
3741.96,Xe,2.0,NIST,,2Hw,3742.020+,,,-0.06
3742.22,Xe,1.0,NIST,,1,3742.1825+,0.01,,0.037
3745.38,Xe,1.0,NIST,,10,3745.3811+,0.01,,-0.001
3745.46,Xe,2.0,NIST,,3a,3745.620+,,,-0.16
3745.69,Xe,1.0,NIST,,4,3745.6953+,0.01,,-0.005
3756.87,Xe,2.0,NIST,,10,3756.853+,,,0.02
3762.05,Xe,2.0,NIST,,3h,3762.061+,,,-0.01
3763.37,Xe,2.0,NIST,,15,3763.362+,,,0.01
3765.66,Xe,2.0,NIST,,0,3765.664+,,,0.0
3773.83,Xe,2.0,NIST,,0,3773.915+,,,-0.08
3775.49,Xe,2.0,NIST,,1,3775.514+,,,-0.02
3778.78,Xe,2.0,NIST,,1-,3778.735+,,,0.05
3780.7,Xe,2.0,NIST,,1H,3780.697+,,,0.0
3783.23,Xe,2.0,NIST,,10h,3783.201+,,,0.03
3787.32,Xe,2.0,NIST,,3,3787.317+,,,0.0
3795.95,Xe,1.0,NIST,,3,3795.9456+,0.01,,0.004
3796.3,Xe,1.0,NIST,,40,3796.3060+,0.01,,-0.006
3800.99,Xe,2.0,NIST,,15h,3800.967+,,,0.02
3801.39,Xe,1.0,NIST,,30,3801.3904+,0.01,,0.0
3801.9,Xe,1.0,NIST,,3,3801.9071+,0.01,,-0.007
3805.68,Xe,2.0,NIST,,1H,3805.694+,,,-0.01
3807.29,Xe,2.0,NIST,,10h,3807.320+,,,-0.03
3809.84,Xe,1.0,NIST,,30,3809.844+,0.01,,-0.004
3810.67,Xe,2.0,NIST,,0,3810.503+,,,0.17
3811.05,Xe,2.0,NIST,,40,3811.044+,,,0.01
3815.16,Xe,2.0,NIST,,1hw,3815.137+,,,0.02
3823.35,Xe,2.0,NIST,,2,3823.473+,,,-0.12
3823.74,Xe,1.0,NIST,,10,3823.726+,0.01,,0.014
3826.27,Xe,2.0,NIST,,2h,3826.216+,,,0.05
3826.86,Xe,1.0,NIST,,15,3826.855+,0.01,,0.005
3829.77,Xe,2.0,NIST,,10h,3829.788+,,,-0.02
3835.6,Xe,1.0,NIST,,2,3835.475+,0.1,,0.12
3848.58,Xe,2.0,NIST,,6,3848.580+,,,0.0
3849.87,Xe,2.0,NIST,,50Hl,3849.870+,,,0.0
3858.53,Xe,2.0,NIST,,20,3858.530+,,,0.0
3869.63,Xe,2.0,NIST,,20,3869.617+,,,0.01
3877.2,Xe,1.0,NIST,,2*,3877.12+,0.2,,0.08
3877.2,Xe,1.0,NIST,,2*,3877.12+,0.2,,0.08
3883.67,Xe,2.0,NIST,,1H,3883.772+,,,-0.1
3885.0,Xe,2.0,NIST,,20,3885.028+,,,-0.03
3885.45,Xe,2.0,NIST,,4Hl,3885.392+,,,0.06
3905.34,Xe,2.0,NIST,,1,3905.290+,,,0.05
3905.85,Xe,2.0,NIST,,10,3905.855+,,,0.0
3907.91,Xe,2.0,NIST,,100h,3907.904+,,,0.01
3916.6,Xe,2.0,NIST,,1h,3916.546+,,,0.05
3920.78,Xe,2.0,NIST,,1h,3920.729+,,,0.05
3926.8,Xe,2.0,NIST,,1,3926.786+,,,0.01
3928.42,Xe,2.0,NIST,,,3928.380+,,,0.04
3933.22,Xe,2.0,NIST,,1,3933.216+,,,0.0
3937.66,Xe,2.0,NIST,,2,3937.618+,,,0.04
3938.92,Xe,2.0,NIST,,15h,3938.888+,,,0.03
3942.21,Xe,2.0,NIST,,3,3942.194+,,,0.02
3942.29,Xe,1.0,NIST,,2,3942.2868+,0.01,,0.003
3943.57,Xe,2.0,NIST,,20,3943.581+,,,-0.01
3948.163,Xe,1.0,NIST,,60,3948.1598+,0.002,,0.003
3948.72,Xe,1.0,NIST,,10,3948.7171+,0.01,,0.003
3950.924,Xe,1.0,4MOST & NIST,25.3632926940918,120,3950.9237+,0.002,,0.0
3951.61,Xe,2.0,NIST,,5Hl,3951.601+,,,0.01
3954.73,Xe,2.0,NIST,,20hl,3954.748+,,,-0.02
3956.85,Xe,1.0,NIST,,6,3956.8437+,0.01,,0.006
3962.15,Xe,2.0,NIST,,0,3962.146+,,,0.0
3967.5411,Xe,1.0,4MOST & NIST,27.308330535888672,200,3967.5405+,0.0005,,0.0006
3972.58,Xe,2.0,NIST,,50Hl,3972.615+,,,-0.03
3974.417,Xe,1.0,NIST,,40,3974.4158+,0.002,,0.001
3975.59,Xe,2.0,NIST,,4,3975.600+,,,-0.01
3978.98,Xe,2.0,NIST,,2h,3978.999+,,,-0.02
3980.41,Xe,2.0,NIST,,2h,3980.398+,,,0.01
3981.21,Xe,2.0,NIST,,1h,3981.165+,,,0.04
3985.202,Xe,1.0,NIST,,30,3985.2027+,0.002,,-0.001
3990.33,Xe,2.0,NIST,,60Hl,3990.298+,,,0.03
3996.05,Xe,2.0,NIST,,3,3996.045+,,,0.01
4000.55,Xe,2.0,NIST,,5h,4000.526+,,,0.02
4002.35,Xe,2.0,NIST,,80Hl,4002.321+,,,0.03
4003.09,Xe,2.0,NIST,,1,4003.249+,,,-0.16
4004.55,Xe,1.0,NIST,,10*,4004.40+,0.2,,0.15
4004.55,Xe,1.0,NIST,,10*,4004.40+,0.2,,0.15
4008.46,Xe,2.0,NIST,,1H,4008.374+,,,0.09
4016.56,Xe,2.0,NIST,,2h,4016.586+,,,-0.03
4017.86,Xe,2.0,NIST,,2h,4017.876+,,,-0.02
4025.19,Xe,2.0,NIST,,30,4025.170+,,,0.02
4026.2,Xe,2.0,NIST,,5Hl,4026.153+,,,0.05
4026.82,Xe,2.0,NIST,,0,4026.894+,,,-0.07
4027.97,Xe,2.0,NIST,,3h,4027.885+,,,0.08
4029.82,Xe,2.0,NIST,,1-,4029.843+,,,-0.02
4035.87,Xe,2.0,NIST,,1,4035.897+,,,-0.03
4037.29,Xe,2.0,NIST,,100,4037.315+,,,-0.03
4037.59,Xe,2.0,NIST,,200,4037.543+,,,0.05
4039.69,Xe,2.0,NIST,,1-,4039.690+,,,0.0
4044.64,Xe,2.0,NIST,,6H,4044.674+,,,-0.03
4044.9,Xe,2.0,NIST,,8H,4044.905+,,,0.0
4051.27,Xe,2.0,NIST,,10h,4051.258+,,,0.01
4057.46,Xe,2.0,NIST,,200H,4057.473+,,,-0.01
4062.12,Xe,2.0,NIST,,6,4062.119+,,,0.0
4066.53,Xe,2.0,NIST,,,4066.581+,,,-0.05
4072.1,Xe,2.0,NIST,,6h,4072.132+,,,-0.03
4073.5,Xe,2.0,NIST,,15,4073.489+,,,0.01
4078.8202,Xe,1.0,4MOST & NIST,26.13222312927246,100,4078.8193+,0.0005,,0.0009
4091.88,Xe,2.0,NIST,,3h,4091.922+,,,-0.04
4098.89,Xe,2.0,NIST,,100h,4098.935+,,,-0.04
4100.34,Xe,2.0,NIST,,20,4100.332+,,,0.01
4100.97,Xe,2.0,NIST,,1h,4100.952+,,,0.02
4103.1,Xe,2.0,NIST,,8hl,4103.078+,,,0.02
4104.95,Xe,2.0,NIST,,40,4104.940+,,,0.01
4109.7089,Xe,1.0,4MOST & NIST,10.06068992614746,60,4109.7076+,0.0005,,0.0013
4110.41,Xe,2.0,NIST,,30,4110.408+,,,0.0
4112.14,Xe,2.0,NIST,,30Hl,4112.116+,,,0.02
4112.42,Xe,2.0,NIST,,0,4112.410+,,,0.01
4113.26,Xe,2.0,NIST,,2,4113.212+,,,0.05
4113.52,Xe,2.0,NIST,,2,4113.514+,,,0.01
4116.1147,Xe,1.0,4MOST & NIST,14.289754867553713,80,4116.1135+,0.0005,,0.0012
4121.86,Xe,2.0,NIST,,5h,4121.836+,,,0.02
4123.55,Xe,1.0,NIST,,10,4123.52+,0.2,,0.03
4131.01,Xe,2.0,NIST,,20,4130.984+,,,0.03
4131.24,Xe,2.0,NIST,,0,4131.408+,,,-0.17
4135.133,Xe,1.0,NIST,,20,4135.1320+,0.002,,0.001
4138.81,Xe,2.0,NIST,,3h,4138.826+,,,-0.02
4146.78,Xe,1.0,NIST,,2,4146.8101+,0.01,,-0.03
4148.19,Xe,2.0,NIST,,2h*,4148.151+,,,0.04
4148.19,Xe,2.0,NIST,,2h*,4148.187+,,,0.0
