lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
5516.002374667633,He,,4MOST,18.54229164123535,,,,,
5520.78441232576,He,,4MOST,17.637968063354492,,,,,
5525.063423657822,He,,4MOST,16.892362594604492,,,,,
5535.41467061117,He,,4MOST,43.63317108154297,,,,,
5543.495055908108,He,,4MOST,17.962995529174805,,,,,
5550.2283163307775,He,,4MOST,21.44871711730957,,,,,
5553.255745469862,He,,4MOST,22.97197151184082,,,,,
5555.228761066638,He,,4MOST,18.85327339172364,,,,,
5559.186545483749,He,,4MOST,17.81264305114746,,,,,
5572.097577731261,He,,4MOST,18.27752685546875,,,,,
5581.330140726825,He,,4MOST,21.018718719482425,,,,,
5588.121196227329,He,,4MOST,25.35795021057129,,,,,
5597.930241688349,He,,4MOST,19.41022300720215,,,,,
5600.051044980504,He,,4MOST,19.6909236907959,,,,,
5608.95724054904,He,,4MOST,19.895376205444336,,,,,
5611.095056414319,He,,4MOST,19.8886661529541,,,,,
5615.230206777031,He,,4MOST,20.97063446044922,,,,,
5618.3582555661405,He,,4MOST,19.87578392028809,,,,,
5621.1005901113895,He,,4MOST,21.257280349731445,,,,,
5625.8478990201065,He,,4MOST,22.25501823425293,,,,,
5628.589276099544,He,,4MOST,20.5687313079834,,,,,
5630.896335410141,He,,4MOST,22.3778133392334,,,,,
5637.368535140286,He,,4MOST,22.235843658447266,,,,,
5642.0336262123365,He,,4MOST,21.862558364868164,,,,,
5650.382407176663,He,,4MOST,21.53621864318848,,,,,
5657.468025750483,He,,4MOST,20.497913360595703,,,,,
5665.126906334327,He,,4MOST,20.80655860900879,,,,,
5667.596241020971,He,,4MOST,20.98945045471192,,,,,
5676.006380907579,He,,4MOST,24.723657608032227,,,,,
5691.297380482531,He,,4MOST,21.95018768310547,,,,,
5695.625614301688,He,,4MOST,22.19895362854004,,,,,
5700.032299218659,He,,4MOST,22.767513275146484,,,,,
5723.692319093457,He,,4MOST,30.191410064697266,,,,,
5726.659815513304,He,,4MOST,27.964279174804688,,,,,
5729.46394174662,He,,4MOST,28.13704490661621,,,,,
5731.800686256049,He,,4MOST,27.700410842895508,,,,,
5744.118258507548,He,,4MOST,25.369176864624023,,,,,
5751.413016170604,He,,4MOST,26.57090377807617,,,,,
5761.245769504177,He,,4MOST,25.92127227783203,,,,,
5764.650834301772,He,,4MOST,26.03349876403809,,,,,
5773.7062825547855,He,,4MOST,28.801210403442383,,,,,
5777.555741499644,He,,4MOST,26.05459785461425,,,,,
5779.565849356264,He,,4MOST,28.27812957763672,,,,,
5784.55419841977,He,,4MOST,27.93521881103516,,,,,
5788.322363613395,He,,4MOST,28.199575424194336,,,,,
5793.554425300389,He,,4MOST,25.116819381713867,,,,,
5797.394471081906,He,,4MOST,26.8569564819336,,,,,
5797.777449465983,He,,4MOST,27.03622436523437,,,,,
5803.375387783605,He,,4MOST,29.521934509277344,,,,,
5806.055868341433,He,,4MOST,27.46857452392578,,,,,
5810.840523561377,He,,4MOST,27.859752655029297,,,,,
5817.224045742384,He,,4MOST,29.099708557128903,,,,,
5820.715879656921,He,,4MOST,27.71665000915528,,,,,
5828.917002660332,He,,4MOST,28.538066864013672,,,,,
5833.532095018087,He,,4MOST,27.741729736328125,,,,,
5839.441238277141,He,,4MOST,30.855844497680664,,,,,
5842.009049185346,He,,4MOST,28.800107955932617,,,,,
5845.640260022993,He,,4MOST,29.747743606567383,,,,,
5853.785866770755,He,,4MOST,33.5813102722168,,,,,
5862.940203015931,He,,4MOST,42.94424057006836,,,,,
5866.761578931676,He,,4MOST,58.76259994506836,,,,,
5875.621,He,1.0,4MOST & NIST,73940.8125,500*,5875.61397,,3e-05,0.007
5889.566478722269,He,,4MOST,43.821754455566406,,,,,
5895.385158497599,He,,4MOST,34.172874450683594,,,,,
5903.155428494282,He,,4MOST,32.51902770996094,,,,,
5912.055429853652,He,,4MOST,30.92632293701172,,,,,
5917.339646349774,He,,4MOST,30.3425521850586,,,,,
5923.560264831411,He,,4MOST,28.15770149230957,,,,,
5936.24227560562,He,,4MOST,26.026382446289062,,,,,
5942.308255311423,He,,4MOST,25.107709884643555,,,,,
5959.78960625771,He,,4MOST,26.472267150878903,,,,,
5967.044434818494,He,,4MOST,26.83650779724121,,,,,
5976.18095490552,He,,4MOST,26.25561141967773,,,,,
5985.7184107110525,He,,4MOST,24.099727630615234,,,,,
5987.956087601864,He,,4MOST,25.49497604370117,,,,,
5997.460899183761,He,,4MOST,24.090965270996094,,,,,
6000.642951770255,He,,4MOST,24.596078872680664,,,,,
6013.773357834055,He,,4MOST,23.93741226196289,,,,,
6020.009016064737,He,,4MOST,22.46145248413086,,,,,
6031.916958807416,He,,4MOST,24.00153923034668,,,,,
6042.731736457501,He,,4MOST,20.531747817993164,,,,,
6059.747887892538,He,,4MOST,19.15043830871582,,,,,
6065.447521168903,He,,4MOST,20.219343185424805,,,,,
6079.773021692356,He,,4MOST,19.182052612304688,,,,,
6085.1123090917,He,,4MOST,19.08745384216309,,,,,
6098.459158142634,He,,4MOST,20.35498809814453,,,,,
6106.297086022729,He,,4MOST,19.88462257385254,,,,,
6114.387294951973,He,,4MOST,19.81353187561035,,,,,
6133.332688279225,He,,4MOST,20.19482040405273,,,,,
6141.736213615342,He,,4MOST,35.99167251586914,,,,,
6145.596660043042,He,,4MOST,20.32044219970703,,,,,
6151.717174715245,He,,4MOST,18.93936347961425,,,,,
6156.489853495845,He,,4MOST,19.262495040893555,,,,,
6164.683612060663,He,,4MOST,19.15303421020508,,,,,
6171.615644924202,He,,4MOST,19.63702964782715,,,,,
6175.358741299393,He,,4MOST,19.633419036865234,,,,,
6186.009934059927,He,,4MOST,20.32689094543457,,,,,
