element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,2,3353.44,,3353.419+,0.02,1h^,,,,
Xe,1,3358.17,0.01,3358.167+,0.003,1h-,,,,
Xe,1,3358.96,0.01,3358.957+,0.003,1h-,,,,
Xe,2,3366.72,,3366.747+,-0.03,300h,,,,
Xe,1,3370.34,0.01,3370.355+,-0.015,1h,,,,
Xe,2,3373.92,,3373.914+,0.01,2h,,,,
Xe,2,3375.16,,3375.192+,-0.03,3h,,,,
Xe,2,3381.34,,3381.334+,0.01,1h^,,,,
Xe,1,3383.20,0.01,3383.197+,0.003,1,,,,
Xe,2,3384.13,,3384.150+,-0.02,40h,,,,
Xe,1,3384.36,0.01,3384.358+,0.002,1,,,,
Xe,2,3386.30,,3386.281+,0.02,2h,,,,
Xe,2,3388.05,,3388.087+,-0.04,2,,,,
Xe,2,3395.50,,3395.519+,-0.02,3,,,,
Xe,2,3399.37,,3399.380+,-0.01,1,,,,
Xe,1,3400.07,0.01,3400.132+,-0.062,2,,,,
Xe,1,3400.79,0.01,3400.879+,-0.089,1-,,,,
Xe,2,3412.58,,3412.615+,-0.03,1H-,,,,
Xe,2,3413.20,,3413.201+, 0.00,6H,,,,
Xe,2,3417.04,,3417.004+,0.04,1-,,,,
Xe,1,3418.37,0.01,3418.367+,0.003,2,,,,
Xe,1,3420.00,0.01,3419.998+,0.002,2,,,,
Xe,2,3420.73,,3420.739+,-0.01,40,,,,
Xe,2,3432.49,,3432.525+,-0.04,1,,,,
Xe,2,3436.48,,3436.475+,0.01,1-,,,,
Xe,1,3442.66,0.01,3442.686+,-0.026,3,,,,
Xe,1,3443.83,0.01,3443.879+,-0.049,1*,,,,
Xe,1,3443.83,0.01,3443.754+,0.076,1*,,,,
Xe,2,3446.34,,3446.322+,0.02,25h,,,,
Xe,2,3460.08,,3460.090+,-0.01,8,,,,
Xe,2,3461.26,,3461.249+,0.01,100h,,,,
Xe,2,3462.81,,3462.839+,-0.03,1-,,,,
Xe,2,3464.17,,3464.166+,0.00,1h,,,,
Xe,2,3467.68,,3467.677+,0.00,1-,,,,
Xe,1,3469.81,0.01,3469.800+,0.010,4,,,,
Xe,1,3472.36,0.01,3472.358+,0.002,4,,,,
Xe,2,3474.23,,3474.265+,-0.03,20h,,,,
Xe,2,3482.21,,3482.292+,-0.08,2h,,,,
Xe,2,3485.23,,3485.191+,0.04,1h,,,,
Xe,1,3496.86,0.01,3496.856+,0.004,1,,,,
Xe,2,3500.36,,3500.353+,0.01,30,,,,
Xe,2,3503.15,,3503.146+,0.00,15,,,,
Xe,2,3504.25,,3504.290+,-0.04,1,,,,
Xe,2,3506.56,,3506.554+,0.01,15,,,,
Xe,1,3506.74,0.01,3506.7334+,0.007,5,,,,
Xe,1,3508.42,0.01,3508.3842+,0.036,2,,,,
Xe,2,3508.88,,3508.866+,0.01,20,,,,
Xe,2,3509.78,,3509.787+,-0.01,,,,,
Xe,2,3513.57,,3513.611+,-0.04,1,,,,
Xe,2,3516.71,,3516.747+,-0.04,2,,,,
Xe,1,3517.90,0.01,3517.956+,-0.056,2*,,,,
Xe,1,3517.90,0.01,3517.876+,0.024,2*,,,,
Xe,2,3521.53,,3521.556+,-0.03,2,,,,
Xe,2,3530.21,,3530.187+,0.02,3H,,,,
Xe,1,3533.48,0.01,3533.475+,0.005,2,,,,
Xe,2,3534.61,,3534.651+,-0.04,1h^,,,,
Xe,1,3536.61,0.01,3536.592+,0.018,1-,,,,
Xe,1,3537.35,0.01,3537.346+,0.004,1,,,,
Xe,2,3538.08,,3538.064+,0.02,2,,,,
Xe,2,3539.41,,3539.268+,0.14,0,,,,
Xe,2,3546.29,,3546.316+,-0.03,1h,,,,
Xe,2,3548.69,,3548.673+,0.02,2h,,,,
Xe,1,3549.86,0.01,3549.865+,-0.005,10,,,,
Xe,1,3554.04,0.01,3554.037+,0.003,10,,,,
Xe,1,3555.92,0.01,3555.917+,0.003,1,,,,
Xe,2,3557.88,,3557.875+,0.01,2bl,,,,
Xe,2,3561.75,,3561.706+,0.04,1-^,,,,
Xe,2,3562.50,,3562.514+,-0.01,1-^,,,,
Xe,1,3563.80,0.01,3563.771+,0.029,3,,,,
Xe,2,3564.30,,3564.278+,0.02,20,,,,
Xe,2,3578.58,,3578.575+,0.01,2,,,,
Xe,1,3587.02,0.01,3587.016+,0.004,4,,,,
Xe,2,3588.62,,3588.627+,-0.01,6h,,,,
Xe,2,3589.02,,3588.916+,0.10,2bl,,,,
Xe,2,3589.88,,3589.864+,0.02,1H,,,,
Xe,1,3591.67,0.01,3591.672+,-0.002,1,,,,
Xe,1,3592.80,0.01,3592.796+,0.004,2,,,,
Xe,2,3604.83,,3604.819+,0.01,3h,,,,
