element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,2,4619.57,,4619.42+,0.15,1*,,,,
Xe,2,4619.57,,4619.59+,-0.02,1*,,,,
Xe,1,4624.2756,0.0005,4624.276+, 0.000,,2.42e+06,B,,
Xe,2,4629.99,,4630.00+,-0.01,5*,,,,
Xe,2,4629.99,,4630.03+,-0.04,5*,,,,
Xe,2,4633.30,,4633.29+,0.01,50,,,,
Xe,2,4651.94,,4651.94+, 0.00,200,,,,
Xe,2,4653.00,,4653.01+,-0.01,40,,,,
Xe,2,4655.33,,4655.18+,0.15,,,,,
Xe,1,4662.26,0.2,4662.29+,-0.03,6,,,,
Xe,2,4666.28,,4666.25+,0.03,40Hl,,,,
Xe,2,4668.49,,4668.49+, 0.00,100,,,,
Xe,1,4671.2258,0.0005,4671.226+, 0.000,,2.49e+06,B,,
Xe,2,4672.20,,4672.19+,0.01,100H,,,,
Xe,2,4673.94,,4674.07+,-0.13,1w,,,,
Xe,2,4674.56,,4674.57+,-0.01,40,,,,
Xe,2,4675.42,,4675.38+,0.04,3,,,,
Xe,2,4676.46,,4676.41+,0.05,200H,,,,
Xe,2,4676.75,,4676.76+,-0.01,2,,,,
Xe,2,4678.31,,4678.31+, 0.00,2h,,,,
Xe,2,4679.45,,4679.40+,0.05,3hl,,,,
Xe,2,4681.65,,4681.69+,-0.04,1w,,,,
Xe,2,4685.86,,4685.91+,-0.05,0,,,,
Xe,2,4688.20,,4688.20+, 0.00,,,,,
Xe,1,4690.970,0.002,4690.972+,-0.002,100,2.8e+05,C+,,
Xe,2,4692.05,,4692.00+,0.05,1bl,,,,
Xe,2,4693.34,,4693.28+,0.06,15hl,,,,
Xe,1,4697.0208,0.0005,4697.021+, 0.000,,7.36e+05,B,,
Xe,2,4698.01,,4698.04+,-0.03,300h,,,,
Xe,2,4699.62,,4699.62+, 0.00,3Hl,,,,
Xe,2,4704.67,,4704.65+,0.02,10Hl,,,,
Xe,1,4708.21,0.01,4708.211+,-0.001,5,,,,
Xe,2,4708.92,,4708.88+,0.04,8hl,,,,
Xe,2,4712.63,,4712.57+,0.06,40,,,,
Xe,2,4713.76,,4713.83+,-0.07,0*,,,,
Xe,2,4713.76,,4713.87+,-0.11,0*,,,,
Xe,2,4715.18,,4715.14+,0.04,100,,,,
Xe,2,4721.00,,4721.00+,0.00,2Hl,,,,
Xe,2,4731.19,,4731.22+,-0.03,100h,,,,
Xe,2,4732.51,,4732.52+,-0.01,15Hl,,,,
Xe,1,4734.1518,0.0005,4734.152+, 0.000,600,1.38e+06,C+,,
Xe,1,4737.49,0.2,4737.55+,-0.06,6,,,,
Xe,2,4769.05,,4769.04+,0.01,150,,,,
Xe,2,4773.19,,4773.19+,0.00,80h,,,,
Xe,2,4775.18,,4775.22+,-0.04,5Hl,,,,
Xe,2,4775.76,,4775.75+,0.01,8Hl,,,,
Xe,2,4779.18,,4779.16+,0.02,80,,,,
Xe,2,4786.65,,4786.66+,-0.01,10Hl,,,,
Xe,2,4787.77,,4787.75+,0.02,100,,,,
Xe,2,4791.84,,4791.83+,0.01,2h^,,,,
Xe,2,4792.56,,4792.54+,0.02,40,,,,
Xe,1,4792.619,0.002,4792.620+,-0.001,150,1.2e+05,D+,,
Xe,2,4795.40,,4795.33+,0.07,3h^,,,,
Xe,2,4796.48,,4796.45+,0.03,6Hl,,,,
Xe,2,4798.35,,4798.32+,0.03,1a,,,,
Xe,2,4799.45,,4799.42+,0.03,15Hl,,,,
Xe,2,4802.10,,4802.02+,0.08,1,,,,
Xe,1,4807.0190,0.0005,4807.019+, 0.000,500,4.29e+06,B,,
Xe,2,4817.14,,4817.16+,-0.02,40Hl,,,,
Xe,2,4818.02,,4818.02+, 0.00,200,,,,
Xe,2,4823.35,,4823.36+,-0.01,300h,,,,
Xe,1,4829.708,0.002,4829.708+,0.000,400,6.e+05,D+,,
Xe,2,4830.25,,4830.18+,0.07,2H,,,,
Xe,2,4831.08,,4830.85+,0.23,2bl,,,,
Xe,2,4832.20,,4832.21+,-0.01,2,,,,
Xe,2,4840.87,,4840.88+,-0.01,1*,,,,
Xe,2,4840.87,,4840.93+,-0.06,1*,,,,
Xe,2,4841.85,,4841.64+,0.21,1bl,,,,
Xe,1,4843.2934,0.0005,4843.293+,0.001,300,7.02e+05,B,,
Xe,2,4844.33,,4844.32+,0.01,2000,1.1e+08,,,
Xe,2,4847.82,,4847.55+,0.27,3,,,,
Xe,2,4850.2,,4850.12+,0.1,2h^*,,,,
Xe,2,4850.2,,4850.23+, 0.0,2h^*,,,,
Xe,2,4853.77,,4853.76+,0.01,40,,,,
Xe,2,4862.45,,4862.47+,-0.02,800h,,,,
Xe,2,4868.87,,4868.87+,0.00,1h,,,,
Xe,2,4876.50,,4876.49+,0.01,500h,6.3e+07,,,
Xe,2,4883.53,,4883.51+,0.02,600h,,,,
Xe,2,4884.15,,4884.18+,-0.03,100H,,,,
Xe,2,4887.30,,4887.29+,0.01,300h,,,,
Xe,2,4890.09,,4890.01+,0.08,300h*,,,,
Xe,2,4890.09,,4890.06+,0.03,300h*,,,,
Xe,2,4892.18,,4892.31+,-0.13,2^,,,,
Xe,2,4899.9,,4900.01+,-0.1,1^,,,,
Xe,2,4905.20,,4905.2+,0.0,2H,,,,
Xe,1,4916.507,0.002,4916.506+,0.001,500,1.6e+06,C+,,
Xe,2,4919.66,,4919.64+,0.02,200,,,,
Xe,2,4921.48,,4921.47+,0.01,800,,,,
Xe,1,4923.152,0.002,4923.151+,0.001,500,9.74e+05,B,,
Xe,2,4934.3,,4934.32+, 0.0,1,,,,
Xe,2,4965.00,,4964.98+,0.02,4Hl,,,,
Xe,2,4971.71,,4971.68+,0.03,200H,,,,
Xe,2,4972.71,,4972.70+,0.01,400h,,,,
Xe,2,4974.41,,4974.46+,-0.05,1^,,,,
Xe,2,4974.87,,4974.86+,0.01,2h,,,,
Xe,2,4987.95,,4987.81+,0.14,0,,,,
Xe,2,4988.77,,4988.78+,-0.01,300h,,,,
Xe,2,4991.17,,4991.15+,0.02,100H,,,,
Xe,2,4993.03,,4993.03+, 0.00,10,,,,
Xe,2,4993.93,,4993.91+,0.02,5Hl,,,,
Xe,2,5001.01,,5001.00+,0.01,3h,,,,
Xe,2,5012.83,,5012.82+,0.01,50Hl,,,,
Xe,2,5017.41,,5017.44+,-0.03,1,,,,
Xe,2,5018.75,,5018.74+,0.01,1^,,,,
Xe,1,5023.88,0.01,5023.86+,0.02,3h,,,,
Xe,1,5028.2794,0.0005,5028.279+,0.000,200,1.6e+05,D+,,
Xe,2,5036.15,,5036.20+,-0.05,3Hl,,,,
Xe,2,5040.06,,5040.1+,0.0,0bl,,,,
Xe,2,5044.92,,5044.94+,-0.02,150h,,,,
Xe,2,5052.54,,5052.53+,0.01,30h,,,,
Xe,2,5066.33,,5066.40+,-0.07,3Hl,,,,
Xe,2,5069.82,,5069.82+,0.00,10Hw,,,,
Xe,2,5073.8,,5073.80+,0.0,1h^,,,,
Xe,2,5080.62,,5080.64+,-0.02,600h,,,,
Xe,2,5081.07,,5081.10+,-0.03,30,,,,
Xe,2,5091.93,,5091.97+,-0.04,60Hl,,,,
Xe,2,5099.59,,5099.57+,0.02,5H,,,,
Xe,2,5104.0,,5103.86+,0.1,1Hw*,,,,
Xe,2,5104.0,,5103.97+,0.0,1Hw*,,,,
Xe,2,5108.58,,5108.68+,-0.10,2h,,,,
Xe,1,5116.46,0.03,5116.4+,0.0,0,,,,
Xe,2,5122.42,,5122.43+,-0.01,200h,,,,
Xe,2,5125.70,,5125.69+,0.01,30,,,,
Xe,1,5127.24,0.2,5127.0+,0.3,6,,,,
Xe,1,5162.711,0.002,5162.702+,0.009,10,,,,
Xe,1,5164.39,0.01,5164.419+,-0.029,1h,,,,
Xe,2,5164.7,,5164.70+,0.0,1H-,,,,
Xe,1,5167.30,0.01,5167.281+,0.019,1h,,,,
Xe,2,5178.82,,5178.82+,0.00,50h,,,,
Xe,2,5182.25,,5182.28+,-0.03,0,,,,
Xe,2,5184.48,,5184.49+,-0.01,50,,,,
Xe,1,5185.85,0.01,5185.93+,-0.08,2h*,,,,
Xe,1,5185.85,0.01,5185.75+,0.10,2h*,,,,
Xe,2,5188.04,,5188.08+,-0.04,200,,,,
Xe,2,5191.37,,5191.37+,0.00,300,,,,
Xe,2,5192.10,,5192.12+,-0.02,80,,,,
Xe,2,5194.92,,5194.92+,0.00,5H,,,,
Xe,2,5199.9,,5199.96+,-0.1,1h^,,,,
Xe,2,5201.42,,5201.42+, 0.00,20,,,,
Xe,2,5201.88,,5202.01+,-0.13,10H,,,,
Xe,1,5206.07,0.01,5206.07+, 0.00,1,1.10e+05,C,,
Xe,2,5213.17,,5213.17+, 0.00,1h,,,,
Xe,2,5218.20,,5218.18+,0.02,1H,,,,
Xe,2,5226.57,,5226.61+,-0.04,20hl,,,,
Xe,2,5226.90,,5226.84+,0.06,10hl,,,,
Xe,1,5245.27,0.01,5245.27+, 0.00,4h,,,,
Xe,2,5247.75,,5247.75+, 0.00,20h,,,,
Xe,1,5248.98,0.01,5248.98+, 0.00,4h,,,,
Xe,1,5251.89,0.01,5251.89+,0.00,2h,,,,
Xe,2,5259.89,,5259.91+,-0.02,30,,,,
Xe,2,5260.44,,5260.44+,0.00,200,2.2e+07,,,
Xe,2,5261.95,,5261.98+,-0.03,200,8.5e+07,,,
Xe,2,5268.31,,5268.27+,0.04,50*,,,,
Xe,2,5268.31,,5268.31+, 0.00,50*,,,,
Xe,1,5273.48,0.01,5273.46+,0.02,1h,,,,
Xe,2,5282.46,,5282.48+,-0.02,2h,,,,
Xe,1,5283.30,0.01,5283.29+,0.01,2h,,,,
Xe,1,5286.11,0.01,5286.10+,0.01,4h,,,,
Xe,1,5286.38,0.01,5286.40+,-0.02,3h,,,,
Xe,2,5291.3,,5291.27+,0.0,2h,,,,
Xe,2,5292.22,,5292.21+,0.01,1000,8.9e+07,,,
Xe,1,5306.37,0.01,5306.36+,0.01,3,1.60e+05,C+,,
Xe,2,5309.27,,5309.27+,0.00,200,,,,
Xe,2,5313.87,,5313.88+,-0.01,800,,,,
Xe,2,5319.83,,5319.70+,0.13,3^,,,,
Xe,2,5327.83,,5327.86+,-0.03,3,,,,
Xe,1,5335.91,0.01,5335.872+,0.038,1h-,,,,
Xe,1,5337.89,0.01,5337.915+,-0.025,2h,,,,
Xe,2,5339.33,,5339.33+, 0.00,1000,,,,
Xe,1,5356.80,0.01,5356.8+,0.0,1,,,,
Xe,1,5362.244,0.002,5362.241+,0.003,15,,,,
Xe,2,5363.20,,5363.19+,0.01,150,,,,
Xe,1,5364.626,0.002,5364.623+,0.003,30,,,,
Xe,1,5367.03,0.01,5367.03+,0.00,6,,,,
Xe,2,5368.07,,5368.06+,0.01,100,,,,
Xe,2,5372.39,,5372.39+, 0.00,300,7.1e+07,,,
Xe,1,5373.74,0.01,5373.763+,-0.023,1h-,,,,
Xe,1,5392.795,0.002,5392.792+,0.003,100,,,,
Xe,1,5394.738,0.002,5394.735+,0.003,20,,,,
Xe,1,5397.63,0.01,5397.628+,0.002,1h,,,,
Xe,1,5400.45,0.01,5400.455+,-0.005,4h,,,,
Xe,2,5415.36,,5415.43+,-0.07,50H^,,,,
Xe,1,5418.02,0.01,5418.02+,0.00,5,,,,
Xe,2,5419.15,,5419.14+,0.01,2000,6.2e+07,,,
Xe,1,5421.76,0.01,5421.773+,-0.013,2h,,,,
Xe,2,5428.07,,5428.01+,0.06,2hs^,,,,
Xe,1,5435.60,0.01,5435.59+,0.01,5h,,,,
Xe,2,5438.96,,5438.97+,-0.01,400,7.4e+07,,,
Xe,1,5439.923,0.002,5439.923+, 0.000,30,,,,
Xe,1,5440.39,0.01,5440.359+,0.031,15,,,,
Xe,1,5444.87,0.01,5444.87+,0.00,1h,,,,
Xe,2,5445.45,,5445.46+,-0.01,150,,,,
Xe,1,,,5447.38+,,,4.0e+04,C,,
Xe,2,5450.45,,5450.48+,-0.03,100,,,,
Xe,2,5450.90,,5450.93+,-0.03,20,,,,
Xe,1,5454.54,0.01,5454.461+,0.079,1h,,,,
Xe,1,5456.45,0.01,5456.46+,-0.01,2,4.40e+04,B,,
Xe,1,5460.037,0.002,5460.034+,0.003,15,2.50e+05,B+,,
Xe,2,5460.39,,5460.38+,0.01,300,,,,
Xe,2,5469.54,,5469.57+,-0.03,20h,,,,
Xe,2,5472.61,,5472.61+, 0.00,500,9.9e+06,,,
Xe,1,5479.12,0.01,5479.124+,-0.004,1h,,,,
Xe,2,5481.13,,5481.07+,0.06,1h,,,,
Xe,1,5481.33,0.01,5481.31+,0.02,1h,,,,
Xe,1,5484.16,0.01,5484.14+,0.02,1h,,,,
Xe,1,5484.46,0.01,5484.47+,-0.01,4h,,,,
Xe,1,5487.03,0.01,5487.055+,-0.025,6h,,,,
Xe,1,5488.555,0.002,5488.552+,0.003,20h,,,,
Xe,2,5507.46,,5507.47+,-0.01,2h,,,,
Xe,2,5518.56,,5518.57+,-0.01,1,,,,
Xe,2,5518.77,,5518.84+,-0.07,1,,,,
Xe,1,5523.05,0.03,5523.02+,0.03,1,,,,
Xe,2,5525.53,,5525.56+,-0.03,50,,,,
Xe,2,5531.07,,5531.06+,0.01,400,8.8e+06,,,
Xe,1,5532.78,0.01,5532.78+, 0.00,2h,1.80e+05,B+,,
Xe,1,5540.38,0.01,5540.391+,-0.011,3h*,,,,
Xe,1,5540.38,0.01,5540.30+,0.08,3h*,,,,
Xe,2,5551.50,,5551.46+,0.04,4Hs^,,,,
Xe,1,5552.385,0.002,5552.387+,-0.002,80,,,,
Xe,1,5553.10,0.01,5553.10+,0.00,3h,,,,
Xe,1,5555.06,0.01,5555.06+,0.00,1-,,,,
Xe,1,5557.28,0.01,5557.28+,0.00,2,6.0e+04,C+,,
Xe,1,5563.50,0.01,5563.49+,0.01,2,,,,
Xe,1,5566.615,0.002,5566.614+,0.001,100,,,,
Xe,1,5567.77,0.01,5567.78+,-0.01,2h,,,,
Xe,2,5570.91,,5570.78+,0.13,1,,,,
Xe,2,5572.19,,5572.19+, 0.00,50,,,,
Xe,1,5575.27,0.01,5575.256+,0.014,2h,,,,
Xe,1,5579.28,0.01,5579.28+,0.00,40,,,,
Xe,1,5581.784,0.002,5581.787+,-0.003,50,,,,
Xe,2,5583.5,,5583.5+,0.0,2H,,,,
Xe,1,5585.18,0.01,5585.156+,0.024,1-,,,,
Xe,2,5591.61,,5591.60+,0.01,2H,,,,
Xe,1,5594.37,0.01,5594.36+,0.01,6,,,,
Xe,2,5594.87,,5594.87+,0.00,15Hw,,,,
Xe,1,5607.99,0.01,5607.980+,0.010,3,,,,
Xe,1,5612.65,0.01,5612.63+,0.02,15,,,,
Xe,2,5612.89,,5612.94+,-0.05,1h-,,,,
Xe,2,5616.67,,5616.67+,0.00,150,,,,
Xe,1,5618.878,0.002,5618.879+,-0.001,80,,,,
Xe,1,5621.24,0.01,5621.218+,0.022,1,,,,
Xe,2,5624.78,,5624.7+,0.1,1Hl*,,,,
Xe,2,5624.78,,5624.81+,-0.03,1Hl*,,,,
Xe,2,5633.24,,5633.27+,-0.03,3H,,,,
Xe,1,5646.19,0.01,5646.19+,0.00,5,2.70e+05,B+,,
Xe,2,5650.53,,5650.40+,0.13,1h,,,,
Xe,1,5652.84,0.01,5652.853+,-0.013,2h,,,,
Xe,1,5654.31,0.01,5654.288+,0.022,1h-,,,,
Xe,2,5659.38,,5659.35+,0.03,150,,,,
Xe,1,5664.46,0.01,5664.447+,0.013,1h,,,,
Xe,2,5667.56,,5667.55+,0.01,300,,,,
Xe,2,5670.91,,5670.96+,-0.05,50,,,,
Xe,2,5675.15,,5675.15+,0.00,1,,,,
Xe,2,5681.87,,5681.84+,0.03,1h,,,,
Xe,2,5686.49,,5686.51+,-0.02,2h,,,,
Xe,2,5688.20,,5688.15+,0.05,2^,,,,
Xe,1,5688.373,0.002,5688.356+,0.017,40,,,,
Xe,1,5695.750,0.002,5695.750+, 0.000,100,,,,
Xe,1,5696.477,0.002,5696.477+,0.000,80,,,,
Xe,1,5698.54,0.01,5698.529+,0.011,8,,,,
Xe,2,5699.61,,5699.59+,0.02,100,,,,
Xe,1,5703.34,0.01,5703.33+,0.01,1,,,,
Xe,1,5706.87,0.01,5706.851+,0.019,3,7.0e+04,C+,,
Xe,1,5709.80,0.01,5709.783+,0.017,10h,,,,
Xe,1,5712.21,0.01,5712.198+,0.012,2,,,,
Xe,1,5715.716,0.002,5715.712+,0.004,70,3.5e+05,C+,,
Xe,2,5716.10,,5716.14+,-0.04,100H,,,,
Xe,1,5716.252,0.002,5716.251+,0.001,80,,,,
Xe,2,5719.61,,5719.60+,0.01,200,6.1e+06,,,
Xe,1,5722.14,0.01,5722.13+,0.01,15h,3.60e+05,B+,,
Xe,1,5723.26,0.01,5723.25+,0.01,1h,,,,
Xe,1,5726.10,0.01,5726.063+,0.037,4,9.0e+04,C+,,
Xe,2,5726.91,,5726.88+,0.03,200,,,,
Xe,2,5730.56,,5730.4+,0.2,0,,,,
Xe,1,5733.48,0.01,5733.467+,0.013,4h,,,,
Xe,1,5740.17,0.01,5740.148+,0.022,6,,,,
Xe,1,5740.73,0.01,5740.732+,-0.002,1h,,,,
Xe,2,5744.2,,5744.2+,0.0,1^,,,,
Xe,1,5748.20,0.01,5748.18+,0.02,8h,,,,
Xe,2,5751.03,,5751.04+,-0.01,200,,,,
Xe,2,5752.56,,5752.55+,0.01,10,,,,
Xe,1,5754.60,0.01,5754.60+,0.00,1h,,,,
Xe,2,5758.65,,5758.67+,-0.02,100,,,,
Xe,2,5776.39,,5776.39+, 0.00,100,,,,
Xe,2,5780.83,,5780.82+,0.01,1-,,,,
Xe,2,5791.88,,5791.97+,-0.09,1hl,,,,
Xe,1,5792.26,0.01,5792.25+,0.01,1h,9.0e+04,C,,
Xe,1,5807.311,0.002,5807.303+,0.008,15,,,,
Xe,2,5809.5,,5809.69+,-0.2,1Hw,,,,
Xe,1,5814.505,0.002,5814.505+,0.000,60,,,,
Xe,2,5815.96,,5815.94+,0.02,50,,,,
Xe,1,5820.52,0.01,5820.498+,0.022,25,4.00e+05,B+,,
Xe,2,5821.57,,5821.58+,-0.01,1-,,,,
Xe,1,5823.890,0.002,5823.887+,0.003,300,,,,
Xe,2,5824.79,,5824.59+,0.20,1-,,,,
Xe,1,5824.800,0.002,5824.801+,-0.001,150,,,,
Xe,1,5827.72,0.01,5827.719+,0.001,1,,,,
Xe,1,5830.63,0.01,5830.62+,0.01,20h,,,,
Xe,2,5835.5,,5835.5+,0.0,5Hw,,,,
Xe,1,5840.83,0.01,5840.81+,0.02,4h,,,,
Xe,1,5843.43,0.01,5843.393+,0.037,5,,,,
Xe,1,5845.46,0.01,5845.41+,0.05,1,,,,
Xe,1,5846.21,0.01,5846.18+,0.03,2,,,,
Xe,2,5849.28,,5849.4+,-0.2,0,,,,
Xe,1,5849.85,0.01,5849.84+,0.01,3h,,,,
Xe,2,5855.47,,5855.53+,-0.06,1,,,,
Xe,1,5856.509,0.002,5856.509+,0.000,15,,,,
Xe,2,5859.47,,5859.47+, 0.00,2H,,,,
Xe,1,5875.018,0.002,5875.019+,-0.001,100,,,,
Xe,2,5877.25,,5877.25+,0.00,1-,,,,
Xe,1,5878.92,0.01,5878.93+,-0.01,6,,,,
Xe,1,5889.12,0.01,5889.12+,0.00,20,,,,
Xe,2,5889.82,,5889.96+,-0.14,4,,,,
Xe,2,5890.26,,5890.46+,-0.20,0,,,,
Xe,2,5891.70,,5891.4+,0.3,4,,,,
Xe,2,5893.29,,5893.30+,-0.01,150,,,,
Xe,1,5894.988,0.002,5894.989+,-0.001,100,,,,
Xe,1,5895.62,0.01,5895.688+,-0.068,2h,,,,
Xe,1,5898.56,0.01,5898.569+,-0.009,8,,,,
Xe,1,5904.462,0.002,5904.459+,0.003,20,,,,
Xe,2,5905.13,,5905.13+,0.00,200,,,,
Xe,1,5906.76,0.01,5906.74+,0.02,3,,,,
Xe,2,5909.67,,5909.64+,0.03,30h,,,,
Xe,1,5911.90,0.01,5911.92+,-0.02,5*,,,,
Xe,1,5911.90,0.01,5911.903+,-0.003,5*,,,,
Xe,2,5912.80,,5912.82+,-0.02,5h,,,,
Xe,2,5913.32,,5913.3+, 0.0,1,,,,
Xe,1,5916.65,0.01,5916.66+,-0.01,4,1.30e+05,B,,
Xe,2,5917.44,,5917.44+, 0.00,50,,,,
Xe,2,5921.50,,5921.55+,-0.05,1,,,,
Xe,1,5921.85,0.01,5921.86+,-0.01,10,,,,
Xe,1,5922.550,0.002,5922.548+,0.002,20,,,,
Xe,1,5925.56,0.01,5925.565+,-0.005,6,,,,
Xe,2,5928.15,,5928.18+,-0.03,3H^,,,,
Xe,1,5931.241,0.002,5931.245+,-0.004,80,,,,
Xe,2,5934.14,,5934.14+, 0.00,2,,,,
Xe,1,5934.172,0.002,5934.169+,0.003,100,,,,
Xe,2,5934.55,,5934.65+,-0.10,1H,,,,
Xe,2,5934.99,,5935.24+,-0.25,0,,,,
Xe,2,5945.53,,5945.53+,0.00,300,,,,
Xe,2,5958.03,,5958.04+,-0.01,50,,,,
Xe,1,5963.28,0.2,5963.18+,0.10,4,,,,
Xe,2,5964.52,,5964.37+,0.15,1-,,,,
Xe,2,5971.13,,5971.17+,-0.04,200,,,,
Xe,1,5972.82,0.01,5972.8+,0.0,1h,,,,
Xe,2,5973.0,,5973.20+,-0.2,1h,,,,
Xe,1,5974.152,0.002,5974.161+,-0.009,40,,,,
Xe,2,5976.46,,5976.42+,0.04,1000,2.8e+07,,,
Xe,1,5978.29,0.01,5978.28+,0.01,2,,,,
Xe,2,5979.2,,5979.06+,0.1,1H,,,,
Xe,1,5979.42,0.01,5979.44+,-0.02,1,,,,
Xe,1,5986.23,0.01,5986.217+,0.013,4,,,,
Xe,2,5988.44,,5988.44+,0.00,1,,,,
Xe,1,5989.18,0.01,5989.186+,-0.006,30,,,,
Xe,2,5991.86,,5991.77+,0.09,1H,,,,
Xe,1,5998.115,0.002,5998.116+,-0.001,30,5.80e+05,B+,,
Xe,2,5998.3,,5998.37+,-0.1,1^,,,,
Xe,2,5998.67,,5998.75+,-0.08,0bl,,,,
Xe,2,6000.3,,6000.13+,0.2,1-,,,,
Xe,1,6007.909,0.002,6007.905+,0.004,15,1.60e+05,B+,,
Xe,2,6008.92,,6008.92+,0.00,100,,,,
Xe,1,6009.78,0.01,6009.78+,0.00,8,2.10e+05,B,,
Xe,1,6014.10,0.01,6014.121+,-0.021,1h,1.3e+04,C,,
Xe,1,6022.89,0.01,6022.88+,0.01,1h-,,,,
Xe,2,6024.14,,6024.11+,0.03,2^,,,,
Xe,2,6024.58,,6024.62+,-0.04,3H,,,,
Xe,1,6026.76,0.01,6026.742+,0.018,4,,,,
Xe,1,6029.78,0.2,6029.8+, 0.0,15*,,,,
Xe,1,6029.78,0.2,6029.8+, 0.0,15*,,,,
Xe,1,6031.36,0.01,6031.36+,0.00,1h-,,,,
Xe,1,6034.92,0.01,6034.910+,0.010,2,,,,
Xe,2,6036.20,,6036.19+,0.01,500,7.5e+06,,,
Xe,1,6043.38,0.01,6043.38+, 0.00,10,,,,
Xe,1,6048.00,0.01,6047.99+,0.01,6h,,,,
Xe,2,6048.53,,6048.70+,-0.17,5h^,,,,
Xe,2,6051.15,,6051.15+,0.00,1000,1.7e+07,,,
Xe,1,6064.91,0.01,6064.89+,0.02,1h,,,,
Xe,1,6067.52,0.01,6067.51+,0.01,2h,,,,
Xe,1,6067.77,0.01,6067.75+,0.02,1h,,,,
Xe,2,6083.21,,6083.35+,-0.14,1h-,,,,
Xe,1,6093.38,0.01,6093.37+,0.01,3,,,,
Xe,2,6093.50,,6093.52+,-0.02,300,,,,
Xe,1,6095.15,0.01,6095.2+,-0.1,1-,,,,
Xe,2,6097.59,,6097.57+,0.02,1000,2.6e+07,,,
Xe,2,6101.43,,6101.47+,-0.04,200,,,,
Xe,1,6103.88,0.01,6103.87+,0.01,3,1.20e+05,B,,
Xe,2,6107.64,,6107.37+,0.27,0,,,,
Xe,1,6108.37,0.01,6108.352+,0.018,8,1.80e+05,C+,,
Xe,1,6111.761,0.002,6111.760+,0.001,30,,,,
Xe,1,6111.951,0.002,6111.949+,0.002,40,7.0e+05,C,,
Xe,1,6114.86,0.01,6114.85+,0.01,10,,,,
Xe,2,6115.08,,6115.08+, 0.00,50,,,,
Xe,1,6123.91,0.01,6123.89+,0.02,5,,,,
Xe,1,6126.36,0.01,6126.362+,-0.002,15,,,,
Xe,2,6127.44,,6127.45+,-0.01,2,,,,
Xe,1,6131.47,0.01,6131.46+,0.01,1,,,,
Xe,1,6142.13,0.01,6142.12+,0.01,1h,,,,
Xe,2,6143.40,,6143.45+,-0.05,1h,,,,
Xe,1,6143.70,0.01,6143.687+,0.013,4,,,,
Xe,1,6144.97,0.01,6144.96+,0.01,20hw,,,,
Xe,2,6146.45,,6146.46+,-0.01,50,,,,
Xe,1,6152.070,0.002,6152.069+,0.001,20,,,,
Xe,2,6155.28,,6155.33+,-0.05,1Hw-,,,,
Xe,1,6162.16,0.01,6162.174+,-0.014,3,,,,
Xe,1,6163.661,0.002,6163.661+, 0.000,90,,,,
Xe,1,6163.935,0.002,6163.931+,0.004,80,,,,
Xe,1,6178.303,0.002,6178.300+,0.003,150,,,,
Xe,1,6179.665,0.002,6179.665+, 0.000,120,,,,
Xe,1,6182.420,0.002,6182.418+,0.002,300,,,,
Xe,1,6184.16,0.01,6184.167+,-0.007,3,,,,
Xe,2,6184.57,,6184.57+,0.00,20,,,,
Xe,2,6185.03,,6185.04+,-0.01,15,,,,
Xe,2,6185.79,,6185.87+,-0.08,1H^,,,,
Xe,1,6189.10,0.01,6189.102+,-0.002,20,1.30e+05,B,,
Xe,1,6191.40,0.01,6191.39+,0.01,4h,,,,
Xe,1,6193.89,0.01,6193.87+,0.02,1h,,,,
Xe,2,6194.07,,6194.10+,-0.03,300,,,,
Xe,1,6195.49,0.01,6195.494+,-0.004,1,,,,
Xe,1,6198.260,0.002,6198.256+,0.004,100,6.60e+05,B+,,
Xe,1,6200.892,0.002,6200.889+,0.003,60,,,,
Xe,1,6201.49,0.01,6201.47+,0.02,3h,,,,
Xe,2,6203.45,,6203.45+,0.00,1h^,,,,
Xe,1,6205.35,0.01,6205.34+,0.01,6h,,,,
Xe,1,6205.75,0.01,6205.75+,0.00,4,,,,
Xe,1,6206.297,0.002,6206.299+,-0.002,20,,,,
Xe,1,6209.11,0.01,6209.101+,0.009,3,,,,
Xe,1,6220.84,0.01,6220.844+,-0.004,1,,,,
Xe,1,6224.168,0.002,6224.172+,-0.004,40,,,,
Xe,1,6230.81,0.2,6230.8+,0.0,4*,,,,
Xe,1,6230.81,0.2,6230.8+,0.0,4*,,,,
Xe,2,6235.40,,6235.36+,0.04,1h,,,,
Xe,1,6242.09,0.01,6242.055+,0.035,8,,,,
Xe,2,6255.32,,6255.41+,-0.09,2Hl^,,,,
Xe,1,6261.212,0.002,6261.211+,0.001,50,,,,
Xe,1,6265.302,0.002,6265.301+,0.001,40*,,,,
Xe,1,6265.302,0.002,6265.2+,0.1,40*,,,,
Xe,1,6268.34,0.01,6268.34+, 0.00,1h,,,,
Xe,2,6270.82,,6270.86+,-0.04,400,1.8e+07,,,
Xe,1,6273.23,0.01,6273.219+,0.011,10,,,,
Xe,1,6276.99,0.01,6276.99+,0.00,4,,,,
Xe,2,6277.54,,6277.54+,0.00,300,3.6e+06,,,
Xe,1,6281.81,0.01,6281.80+,0.01,5h,,,,
Xe,2,6284.41,,6284.40+,0.01,50,,,,
Xe,1,6286.011,0.002,6286.00+,0.01,100,,,,
