element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Cs,2,3576.557,0.002,3576.5574,0.0022, 0.000,41,,,,
Cs,2,3595.535,0.002,3595.53398,0.00020,0.0010,170,,,,
Cs,2,3605.447,0.002,3605.44761,0.00019,-0.0006,5100,,,,
Cs,2,3606.8347,0.0012,3606.8346,0.0004,0.0001,28,,,,
Cs,2,3610.934,0.003,3610.93245,0.00019,0.002,4700,,,,
Cs,1,3611.4714,0.0019,3611.46769,0.00015,0.0037,160,1.43e+05,C+,,
Cs,2,3615.0112,0.0016,3615.01076,0.00020,0.0004,11000,,,,
Cs,1,3617.3084,0.0017,3617.30663,0.00007,0.0018,32,2.2e+04,C,,
Cs,2,3617.810,0.005,3617.805,0.005,0.005,34,,,,
Cs,2,3618.527,0.004,3618.52288,0.00019,0.004,6800,,,,
Cs,2,3639.431,0.008,3639.42631,0.00019,0.005,69,,,,
Cs,2,3655.426,0.002,3655.42363,0.00025,0.0024,1900,,,,
Cs,2,3655.5491,0.0017,3655.5519,0.0007,-0.0028,120,,,,
Cs,2,3656.122,0.004,3656.1185,0.0011,0.004,40,,,,
Cs,2,3666.508,0.003,3666.5011,0.0005,0.007,28,,,,
Cs,2,3674.17,0.14,3674.1656,0.0007,0.00,21bl,,,,
Cs,2,3680.1096,0.0013,3680.1094,0.0003,0.0002,17000,,,,
Cs,2,3682.4865,0.0011,3682.48733,0.00021,-0.0008,1400,,,,
Cs,2,3687.626,0.003,3687.6261,0.0023, 0.000,94,,,,
Cs,2,3688.7143,0.0017,3688.71507,0.00024,-0.0008,350,,,,
Cs,2,3694.7843,0.0012,3694.7817,0.0003,0.0026,40,,,,
Cs,2,3717.6684,0.0016,3717.6684,0.0022, 0.0000,45,,,,
Cs,2,3724.7567,0.0011,3724.75659,0.00019,0.0001,3400,,,,
Cs,2,3730.238,0.003,3730.235,0.003,0.003,160,,,,
Cs,2,3732.331,0.004,3732.327,0.003,0.004,76,,,,
Cs,2,3732.5561,0.0008,3732.55622,0.00019,-0.0001,13000,,,,
Cs,2,3743.6823,0.0015,3743.6821,0.0003,0.0002,89,,,,
Cs,2,3747.7607,0.0014,3747.7581,0.0003,0.0026,56,,,,
Cs,2,3751.8023,0.0016,3751.80247,0.00023,-0.0002,24,,,,
Cs,2,3759.3138,0.0012,3759.3136,0.0007,0.0002,83,,,,
Cs,2,3764.1660,0.0014,3764.1644,0.0003,0.0016,43,,,,
Cs,2,3764.802,0.002,3764.8016,0.0003,0.0004,1300,,,,
Cs,2,3766.079,0.004,3766.080,0.006,-0.001,60,,,,
Cs,2,3783.5159,0.0008,3783.5128,0.0003,0.0031,33,,,,
Cs,2,3785.4378,0.0011,3785.43739,0.00019,0.0004,110000,,,,
Cs,2,3789.0082,0.0015,3789.0071,0.0020,0.0011,74,,,,
Cs,2,3789.482,0.003,3789.4811,0.0017,0.001,23,,,,
Cs,2,3790.6282,0.0011,3790.6270,0.0003,0.0012,470,,,,
Cs,2,3799.4478,0.0017,3799.4489,0.0022,-0.0011,33,,,,
Cs,2,3803.1536,0.0014,3803.1532,0.0019,0.0004,47,,,,
Cs,2,3805.1250,0.0011,3805.12482,0.00019,0.0002,270000,,,,
Cs,2,3817.8580,0.0013,3817.8656,0.0006,-0.0076,31,,,,
Cs,2,3825.0439,0.0012,3825.0423,0.0003,0.0016,370,,,,
Cs,2,3828.8842,0.0015,3828.8788,0.0016,0.0054,16,,,,
Cs,2,3833.383,0.002,3833.3820,0.0007,0.0010,79,,,,
Cs,2,3837.6293,0.0013,3837.6288,0.0003,0.0005,190,,,,
Cs,2,3840.245,0.004,3840.245,0.003,0.000,160,,,,
Cs,2,3848.9515,0.0012,3848.9506,0.0008,0.0009,37,,,,
Cs,2,3850.545,0.008,3850.536,0.006,0.009,16,,,,
Cs,2,3853.5212,0.0013,3853.5214,0.0018,-0.0002,47,,,,
Cs,2,3861.4996,0.0008,3861.49875,0.00021,0.0008,52000,,,,
Cs,2,3867.125,0.003,3867.1315,0.0011,-0.007,120,,,,
Cs,2,3870.1798,0.0012,3870.18037,0.00021,-0.0006,4400,,,,
Cs,2,3874.1641,0.0012,3874.1628,0.0003,0.0013,310,,,,
Cs,1,3876.1486,0.0008,3876.147,0.005,0.002,2100,3.9e+05,B+,,
Cs,2,3876.501,0.004,3876.50091,0.00022,0.000,800,,,,
Cs,2,3878.252,0.003,3878.252,0.005, 0.000,130,,,,
Cs,2,3880.963,0.003,3880.965,0.004,-0.002,26,,,,
Cs,2,3883.356,0.002,3883.3641,0.0017,-0.008,4,,,,
Cs,1,3888.611413,0.000022,3888.611413,0.000022, 0.000000,600,9.0e+04,C+,,
Cs,2,3896.9860,0.0010,3896.98641,0.00020,-0.0004,340000,,,,
Cs,2,3899.631,0.003,3899.63038,0.00023,0.001,80,,,,
Cs,2,3900.072,0.003,3900.07180,0.00021,0.000,810,,,,
Cs,2,3904.599,0.007,3904.6079,0.0023,-0.009,97,,,,
Cs,2,3906.9400,0.0012,3906.93949,0.00020,0.0005,38000,,,,
Cs,2,3913.3552,0.0011,3913.3537,0.0003,0.0015,490,,,,
Cs,2,3915.0569,0.0015,3915.0572,0.0020,-0.0003,55,,,,
Cs,2,3934.987,0.002,3934.99040,0.00019,-0.0034,49,,,,
Cs,2,3941.4216,0.0012,3941.4216,0.0014,0.0000,33,,,,
Cs,2,3944.285,0.005,3944.2820,0.0016,0.003,160,,,,
Cs,2,3944.4506,0.0012,3944.4485,0.0011,0.0021,16,,,,
Cs,2,3956.956,0.016,3956.976,0.006,-0.020,48,,,,
