element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Ar,2,3204.3206,0.0002,3204.32086,0.00007,-0.00026,35,4.e+07,D,,
Ar,2,3205.006,0.002,3205.0038,0.0012,0.0022,6,,,,
Ar,2,3207.581,0.002,3207.58125,0.00021,-0.0003,5,,,,
Ar,2,3207.655,0.006,3207.66891,0.00009,-0.014,2,,,,
Ar,2,3212.5178,0.0010,3212.51810,0.00005,-0.0003,7,5.2e+06,C,,
Ar,2,3215.688,0.006,3215.69249,0.00016,-0.004,3,,,,
Ar,2,3216.7297,0.0011,3216.72967,0.00004,0.0000,6,,,,
Ar,2,3217.6730,0.0014,3217.67341,0.00021,-0.0004,5,,,,
Ar,2,3221.625,0.006,3221.62493,0.00004,0.000,7,1.8e+06,C,,
Ar,2,3222.3977,0.0010,3222.39785,0.00021,-0.0002,8,,,,
Ar,2,3225.973,0.006,3225.97416,0.00004,-0.001,6,2.1e+06,C,,
Ar,2,3230.021,0.006,3230.02270,0.00005,-0.002,4,,,,
Ar,2,3230.680,0.006,3230.68288,0.00005,-0.003,2,,,,
Ar,2,3235.175,0.006,3235.17980,0.00016,-0.005,3,,,,
Ar,2,3236.8097,0.0008,3236.81049,0.00008,-0.0008,10,5.2e+07,D,,
Ar,2,3241.708,0.006,3241.708,0.006,0.000,2,,,,
Ar,2,3243.6881,0.0001,3243.68806,0.00005,0.00004,95,1.056e+08,C,,
Ar,2,3247.481,0.006,3247.48212,0.00018,-0.001,3,,,,
Ar,2,3249.7996,0.0001,3249.79976,0.00005,-0.00016,95,6.3e+07,C,,
Ar,2,3253.918,0.006,3253.91840,0.00004, 0.000,3,9.e+05,C,,
Ar,2,3258.894,0.006,3258.89842,0.00005,-0.004,2,,,,
Ar,2,3259.336,0.006,3259.33854,0.00016,-0.003,0.5*,,,,
Ar,2,3259.336,0.006,3259.34061,0.00010,-0.005,0.5*,,,,
Ar,2,3259.6556,0.0015,3259.65584,0.00017,-0.0002,5,,,,
Ar,2,3262.083,0.006,3262.08337,0.00017, 0.000,2,,,,
Ar,2,3263.5702,0.0004,3263.57059,0.00005,-0.0004,21,1.55e+07,B,,
Ar,2,3268.987,0.006,3268.99068,0.00005,-0.004,5,,,,
Ar,2,3270.474,0.006,3270.47846,0.00016,-0.004,5,,,,
Ar,2,3273.3165,0.0008,3273.31709,0.00008,-0.0006,9,3.7e+07,D,,
Ar,2,3275.6434,0.0012,3275.64361,0.00017,-0.0002,6,,,,
Ar,2,3276.085,0.006,3276.09198,0.00016,-0.007,3,,,,
Ar,2,3279.9418,0.0030,3279.94121,0.00005,0.0006,2,,,,
Ar,2,3281.7012,0.0002,3281.70092,0.00006,0.00028,43,4.2e+07,C,,
Ar,2,3291.4405,0.0006,3291.44028,0.00022,0.0002,10,,,,
Ar,2,3293.6402,0.0001,3293.64009,0.00008,0.00011,162,1.7e+08,D,,
Ar,2,3293.9244,0.0004,3293.92452,0.00005,-0.0001,21,,,,
Ar,2,3297.020,0.006,3297.02859,0.00018,-0.009,2,,,,
Ar,2,3298.418,0.006,3298.421,0.004,-0.003,2,,,,
Ar,2,3306.445,0.006,3306.44038,0.00021,0.005,5,,,,
Ar,2,3307.2283,0.0001,3307.22825,0.00008,0.00005,126,3.4e+08,D,,
Ar,2,3309.3397,0.0019,3309.34039,0.00010,-0.0007,4,,,,
Ar,2,3312.70,0.02,3312.70206,0.00017,-0.002,0.5,,,,
Ar,2,3317.825,0.006,3317.82317,0.00010,0.002,3,,,,
Ar,1,3319.34,,,,,7,,,,
Ar,2,3320.375,0.006,3320.37268,0.00020,0.002,2,,,,
Ar,2,3324.228,0.006,3324.228,0.006, 0.000,2,,,,
Ar,2,3337.116,0.006,3337.125,0.011,-0.009,2hl,,,,
Ar,2,3338.8225,0.0007,3338.82317,0.00004,-0.0007,7,,,,
Ar,2,3341.507,0.006,3341.50230,0.00010,0.005,3,,,,
Ar,2,3341.746,0.006,3341.74042,0.00004,0.006,6,,,,
Ar,2,3347.694,0.006,3347.69637,0.00004,-0.002,1,,,,
Ar,2,3350.9238,0.0001,3350.92386,0.00005,-0.00006,129,1.5e+08,D,,
Ar,2,3361.7447,0.0006,3361.74474,0.00004, 0.0000,10,3.9e+06,D,,
Ar,2,3363.300,0.006,3363.29875,0.00018,0.001,2,,,,
Ar,2,3364.362,0.006,3364.36530,0.00017,-0.003,2,,,,
Ar,2,3365.5204,0.0006,3365.52028,0.00005,0.0001,13,1.3e+07,D,,
Ar,2,3365.58,0.02,3365.59797,0.00017,-0.018,1?,,,,
Ar,2,3366.5800,0.0003,3366.57996,0.00008,0.0000,22,4.1e+07,D,,
Ar,2,3370.9147,0.0007,3370.91470,0.00005,0.0000,12,5.9e+06,D,,
Ar,2,3370.9850,0.0018,3370.98437,0.00014,0.0006,4,,,,
Ar,2,3373.140,0.012,3373.13287,0.00017,0.007,1wbl,,,,
Ar,1,3373.47,,,,,7,,,,
Ar,2,3373.842,0.006,3373.84416,0.00004,-0.002,3,,,,
Ar,2,3376.4357,0.0001,3376.43578,0.00004,-0.00008,155,1.5e+08,D,,
Ar,2,3378.442,0.006,3378.44466,0.00017,-0.003,1,,,,
Ar,2,3379.458,0.006,3379.46015,0.00005,-0.002,4,2.e+06,D,,
Ar,2,3379.5779,0.0007,3379.57698,0.00005,0.0009,11,3.2e+07,D,,
Ar,2,3381.063,0.006,3381.06621,0.00004,-0.003,1,,,,
Ar,2,3382.133,0.006,3382.13182,0.00004,0.001,3,,,,
Ar,2,3383.865,0.006,3383.86892,0.00009,-0.004,1,,,,
Ar,2,3388.5306,0.0001,3388.53072,0.00008,-0.00012,195,1.9e+08,D,,
Ar,2,3391.343,0.006,3391.34481,0.00004,-0.002,0.5,,,,
Ar,1,3393.73,,,,,7,,,,
Ar,2,3397.002,0.006,3397.00197,0.00004,0.000,1,,,,
Ar,2,3397.608,0.006,3397.61093,0.00017,-0.003,1,,,,
Ar,2,3397.8954,0.0006,3397.89536,0.00005,0.0000,8,2.7e+06,D,,
Ar,1,,,3406.1804,,,,3.9e+05,D,,
Ar,2,3406.298,0.006,3406.29625,0.00004,0.002,3,,,,
Ar,2,3408.350,0.006,3408.35406,0.00020,-0.004,0.5,,,,
Ar,2,3408.612,0.005,3408.61207,0.00020, 0.000,3bl,,,,
Ar,2,3409.413,0.006,3409.4179,0.0009,-0.005,1,,,,
Ar,2,3409.54,0.02,3409.54364,0.00018,-0.004,0?,,,,
Ar,2,3409.699,0.006,3409.70211,0.00021,-0.003,2,,,,
Ar,2,3414.4579,0.0008,3414.45796,0.00005,-0.0001,9,7.7e+06,D,,
