element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Hg,1,4077.837,0.001,4077.8370,0.0008,0.0000,1000,4.0e+06,B,,
Hg,1,4108.054,0.008,4108.054,0.007, 0.000,70,2.2e+06,D,,
Hg,2,4120.440,0.004,4120.447,0.003,-0.007,4000,1.2e+07,,,
Hg,1,4140.0,0.2,4140.059,0.003,-0.06,0,,,,
Hg,2,4276.224,0.003,,,,100,,,,
Hg,2,4277.995,0.003,4277.987,0.004,0.008,100w,8.0e+06,,,
Hg,2,4337.097,0.004,4337.088,0.003,0.009,100c,4.0e+04,,,
Hg,2,4337.097,0.004,4337.094,0.003,0.003,100c,1.1e+06,,,
Hg,1,4339.2232,0.001,4339.2228,0.0009,0.0004,50,2.9e+06,C+,,
Hg,1,4343.634,0.02,4343.632,0.004,0.002,1.3,,,,
Hg,1,4347.4945,0.001,4347.4951,0.0009,-0.0006,150,8.4e+06,B,,
Hg,1,4358.335,0.001,4358.3363,0.0008,-0.0013,12000,5.6e+07,B,,
Hg,2,4382.549,0.004,4382.553,0.003,-0.004,300u,8.5e+04,,,
Hg,2,4398.617,0.003,4398.623,0.004,-0.006,40000,9.0e+06,,,
Hg,2,4404.854,0.006,4404.854,0.006, 0.000,2h,4.5e+06,,,
Hg,2,4425.220,0.004,4425.223,0.003,-0.003,3300h,1.3e+06,,,
Hg,2,4454.395,0.003,4454.390,0.004,0.005,200h,6.5e+06,,,
Hg,2,4455.486,0.003,4455.486,0.003,0.000,70h,2.1e+06,,,
Hg,2,4459.053,0.003,,,,150h,,,,
Hg,2,4463.878,0.004,4463.878,0.003,0.000,700c,8.0e+04,,,
Hg,2,4491.552,0.003,,,,2000,,,,
Hg,2,4492.831,0.003,4492.8309,0.0017,0.000,2800,7.5e+05,,,
Hg,2,4657.320,0.003,4657.316,0.003,0.004,60h,,,,
Hg,2,4660.219,0.004,4660.216,0.003,0.003,30000,1.0e+07,,,
Hg,1,4670.831,0.011,4670.831,0.011, 0.000,,,,,
Hg,1,4671.717,0.011,4671.717,0.011, 0.000,,,,,
Hg,1,4672.918,0.011,4672.920,0.013,-0.002,*,,,,
Hg,1,4672.918,0.011,4672.920,0.022,-0.002,*,,,,
Hg,1,4683.819,0.011,4683.821,0.011,-0.002,,,,,
Hg,1,4684.926,0.011,4684.925,0.011,0.001,,,,,
Hg,1,4686.386,0.011,4686.386,0.013,0.000,*,,,,
Hg,1,4686.386,0.011,4686.386,0.020,0.000,*,,,,
Hg,2,4686.563,0.003,4686.561,0.004,0.002,60s,7.7e+03,,,
Hg,1,4699.797,0.011,4699.796,0.011,0.001,,,,,
Hg,1,4701.171,0.011,4701.171,0.011, 0.000,,,,,
Hg,1,4703.011,0.011,4703.011,0.011, 0.000,,,,,
Hg,1,4703.051,0.011,4703.051,0.011,0.000,,,,,
Hg,2,4704.625,0.003,4704.625,0.003,0.000,300l,6.7e+06,,,
Hg,1,4719.742,0.011,4719.744,0.011,-0.002,,,,,
Hg,1,4721.512,0.011,4721.511,0.011,0.001,,,,,
Hg,1,4723.814,0.011,4723.814,0.011,0.000,,,,,
Hg,1,4723.919,0.011,4723.917,0.011,0.002,,,,,
Hg,2,4742.297,0.003,4742.296,0.004,0.001,300,,,,
Hg,1,4745.148,0.011,4745.146,0.011,0.002,,,,,
Hg,1,4747.458,0.011,4747.458,0.011,0.000,,,,,
Hg,1,4750.393,0.011,4750.393,0.011,0.000,,,,,
Hg,1,4750.560,0.011,4750.560,0.011,0.000,,,,,
Hg,2,4762.266,0.003,4762.271,0.005,-0.005,100h,2.8e+06,,,
Hg,1,4778.118,0.011,4778.117,0.011,0.001,,,,,
Hg,1,4781.274,0.011,4781.273,0.011,0.001,,,,,
Hg,1,4785.153,0.011,4785.155,0.011,-0.002,,,,,
Hg,1,4785.354,0.011,4785.354,0.011, 0.000,,,,,
Hg,1,4822.204,0.012,4822.206,0.012,-0.002,,,,,
Hg,2,4825.566,0.003,4825.564,0.004,0.002,17000,,,,
Hg,1,4826.594,0.012,4826.594,0.012, 0.000,,,,,
Hg,2,4827.732,0.003,4827.7261,0.0023,0.006,30w,4.8e+03,,,
Hg,1,4831.878,0.012,4831.878,0.012, 0.000,,,,,
Hg,1,4832.238,0.012,4832.238,0.012,0.000,,,,,
Hg,2,4855.584,0.004,4855.586,0.004,-0.002,16000h,2.2e+06,,,
Hg,2,4880.327,0.005,,,,4500c,,,,
Hg,1,4882.999,0.005,4883.001,0.003,-0.002,6,,,,
Hg,1,4889.489,0.012,4889.489,0.012, 0.000,,,,,
Hg,1,4896.914,0.012,4896.909,0.012,0.005,,,,,
Hg,1,4897.482,0.012,4897.482,0.012, 0.000,,,,,
Hg,1,4916.068,0.01,4916.045,0.005,0.023,20,5.8e+06,D+,,
Hg,2,4916.328,0.003,,,,100w,,,,
Hg,1,4960.1,0.1,4960.17,0.04,-0.07,100,,,,
Hg,2,4961.873,0.003,4961.888,0.004,-0.015,18000c,2.1e+05,,,
Hg,1,4970.370,0.005,4970.374,0.003,-0.004,6,,,,
Hg,2,4980.564,0.004,4980.567,0.005,-0.003,9500l,,,,
Hg,1,4980.640,0.005,4980.639,0.005,0.001,6,,,,
Hg,1,4991.601,0.012,4991.604,0.012,-0.003,,,,,
Hg,1,4992.593,0.012,4992.596,0.012,-0.003,,,,,
Hg,2,5017.279,0.003,,,,100,,,,
Hg,1,5025.6,0.2,5025.6307,0.0020,-0.03,3,2.67e+04,B,,
Hg,2,5025.607,0.003,,,,100,,,,
Hg,1,5045.8,0.2,5045.69,0.04,0.11,2,,,,
Hg,2,5066.493,0.005,5066.497,0.006,-0.004,1200,,,,
Hg,2,5098.559,0.003,5098.561,0.004,-0.002,60,,,,
Hg,2,5100.946,0.003,5100.945,0.004,0.001,100,,,,
Hg,1,5102.705,0.005,5102.704,0.003,0.001,30,,,,
Hg,1,5120.637,0.005,5120.637,0.005, 0.000,70,,,,
Hg,2,5128.442,0.003,5128.4538,0.0024,-0.012,120000c,2.5e+07,,,
Hg,1,5137.940,0.005,5137.942,0.005,-0.002,30,,,,
Hg,1,5139.926,0.013,5139.928,0.013,-0.002,,,,,
Hg,2,5146.289,0.003,5146.293,0.005,-0.004,15000,,,,
Hg,2,5162.357,0.008,5162.367,0.003,-0.010,25000c,1.7e+05,,,
Hg,2,5196.190,0.008,5196.1884,0.0023,0.002,18000c,4.2e+06,,,
Hg,2,5204.768,0.003,5204.768,0.004,0.000,150000,,,,
Hg,2,5205.868,0.003,5205.864,0.004,0.004,80h,,,,
Hg,2,5216.382,0.003,5216.379,0.004,0.003,40000,,,,
Hg,1,5218.9,0.2,5219.440,0.014,-0.54,2,,,,
Hg,2,5222.922,0.003,5222.922,0.004,0.000,500h,1.3e+07,,,
Hg,2,5242.173,0.003,5242.172,0.003,0.001,35w,9.0e+04,,,
Hg,2,5277.591,0.003,5277.593,0.004,-0.002,18000,,,,
Hg,2,5280.146,0.003,5280.148,0.004,-0.002,600h,,,,
Hg,1,5290.740,0.005,5290.738,0.004,0.002,30,,,,
Hg,2,5293.248,0.003,,,,200,,,,
Hg,2,5294.177,0.003,5294.177,0.004, 0.000,400h,9.2e+06,,,
Hg,2,5316.067,0.006,5316.069,0.005,-0.002,75c,1.5e+04,,,
Hg,1,5316.776,0.005,5316.776,0.003,0.000,6,,,,
Hg,1,5354.034,0.014,5354.036,0.014,-0.002,130,,,,
Hg,1,5365.5,0.1,5365.38,0.06,0.12,12,,,,
Hg,2,5372.373,0.003,5372.374,0.004,-0.001,40,,,,
Hg,1,5384.626,0.005,5384.627,0.005,-0.001,50,,,,
Hg,1,5388.810,0.005,5388.810,0.005, 0.000,,,,,
Hg,1,5393.468,0.005,5393.465,0.004,0.003,,,,,
Hg,1,5404.8,0.1,5404.83,0.06,-0.03,3,,,,
Hg,2,5425.253,0.003,5425.249,0.005,0.004,8000000,1.4e+08,,,
Hg,1,5460.750,0.001,5460.7498,0.0009,0.0002,6000,4.9e+07,B,,
Hg,2,5465.286,0.003,,,,250,,,,
Hg,1,5549.634,0.005,5549.636,0.004,-0.002,50,,,,
Hg,2,5595.268,0.005,5595.260,0.003,0.008,200000,8.8e+06,,,
Hg,1,5675.81,0.08,5675.88,0.04,-0.07,600,,,,
Hg,2,5677.105,0.003,5677.102,0.003,0.003,20000000E,1.8e+08,,,
Hg,2,5698.590,0.003,5698.593,0.004,-0.003,1500c,4.6e+06,,,
Hg,1,5769.610,0.001,5769.6095,0.0010,0.0005,1000,2.36e+07,B,,
Hg,1,5789.69,0.05,5789.6805,0.0023,0.01,30,6.e+05,D,,
Hg,1,5790.670,0.001,5790.6705,0.0010,-0.0005,900,3.1e+07,D,,
Hg,1,5803.782,0.005,5803.783,0.004,-0.001,400,,,,
Hg,1,5818.3,0.1,5818.32,0.07,-0.02,2,,,,
Hg,2,5851.758,0.004,5851.766,0.005,-0.008,1300c,8.0e+06,,,
Hg,1,5859.254,0.005,5859.254,0.005,0.000,130,,,,
Hg,2,5870.899,0.003,,,,80p,,,,
Hg,2,5871.279,0.003,5871.2779,0.0025,0.001,1200000,1.0e+08,,,
Hg,2,5871.572,0.003,,,,50u,,,,
Hg,2,5871.921,0.003,,,,600h,,,,
Hg,1,5871.975,0.005,5871.975,0.005,0.000,30,,,,
Hg,2,5888.939,0.003,5888.947,0.006,-0.008,2000000c,3.8e+07,,,
Hg,1,5890.2,0.1,5890.17,0.07,0.03,12,,,,
Hg,2,5918.496,0.003,5918.496,0.004, 0.000,10w,3.3e+06,,,
Hg,2,5947.680,0.003,5947.682,0.005,-0.002,150,4.5e+06,,,
Hg,2,5961.509,0.006,5961.520,0.010,-0.011,1500c,1.8e+06,,,
Hg,2,5978.916,0.003,,,,180h,,,,
Hg,2,6032.653,0.003,,,,60h,,,,
Hg,2,6041.045,0.003,6041.047,0.005,-0.002,180h,4.5e+06,,,
Hg,1,6072.64,0.10,6072.66,0.06,-0.02,30,6.e+04,E,,
Hg,2,6089.794,0.004,6089.800,0.004,-0.006,8000c,2.7e+06,,,
Hg,2,6100.096,0.003,,,,100,,,,
Hg,2,6100.332,0.004,6100.342,0.005,-0.010,5000c,1.8e+07,,,
Hg,1,6123.27,0.05,6123.25,0.05,0.02,3,,,,
Hg,2,6141.773,0.003,,,,150,,,,
Hg,2,6146.435,0.003,,,,1500000,,,,
Hg,2,6146.845,0.003,,,,350w,,,,
Hg,2,6149.475,0.001,6149.4726,0.0024,0.002,25000000c,6.2e+07,,,
Hg,2,6152.002,0.003,,,,120,,,,
Hg,2,6157.138,0.003,,,,120,,,,
Hg,2,6158.303,0.003,,,,1000,,,,
Hg,2,6194.289,0.003,,,,70h,,,,
Hg,2,6196.409,0.003,6196.421,0.006,-0.012,250c,3.0e+06,,,
Hg,1,6234.36,0.10,6234.35,0.05,0.01,50,3.0e+05,D,,
Hg,2,6242.222,0.003,,,,65000,,,,
Hg,2,6291.228,0.003,6291.230,0.004,-0.002,65000,2.6e+07,,,
Hg,2,6360.199,0.003,6360.199,0.005,0.000,150h,4.8e+06,,,
Hg,2,6394.890,0.003,6394.888,0.005,0.002,55000,1.8e+07,,,
Hg,2,6440.547,0.003,6440.548,0.005,-0.001,30h,1.8e+05,,,
Hg,2,6521.092,0.003,6521.095,0.004,-0.003,150000c,1.6e+07,,,
Hg,1,6701.6,0.3,6702.10,0.13,-0.5,2,,,,
Hg,2,6702.030,0.003,6702.032,0.004,-0.002,170h,5.3e+06,,,
Hg,1,6716.34,0.10,6716.36,0.07,-0.02,600,2.4e+05,D,,
Hg,1,6721.1,0.3,,,,5,,,,
Hg,1,6725.2,0.3,6724.78,0.14,0.4,1,,,,
Hg,1,6741.0,0.3,6741.60,0.14,-0.6,0,,,,
Hg,1,6747.1,0.3,,,,2,,,,
Hg,1,6750.9,0.3,6751.39,0.18,-0.5,2,,,,
Hg,1,6773.2,0.3,6772.57,0.14,0.6,1,,,,
Hg,1,6784.6,0.3,6785.16,0.14,-0.6,4,,,,
Hg,1,6811.6,0.3,6811.28,0.14,0.3,2,,,,
Hg,1,6827.0,0.3,6827.15,0.19,-0.1,5,,,,
Hg,1,6852.9,0.3,,,,0,,,,
Hg,1,6861.0,0.3,6860.46,0.14,0.5,3,,,,
Hg,1,6870.7,0.3,,,,4,,,,
Hg,1,6880.4,0.3,6880.81,0.14,-0.4,4,,,,
Hg,1,6888.564,0.005,6888.563,0.003,0.001,,,,,
Hg,1,6907.46,0.11,6907.46,0.04, 0.00,1000,1.6e+06,D,,
Hg,1,6915.6,0.3,,,,5,,,,
Hg,1,6924.3,0.3,6924.13,0.10,0.2,3,,,,
Hg,1,6934.0,0.3,,,,1,,,,
Hg,1,6944.1,0.3,,,,4,,,,
Hg,2,6945.474,0.003,6945.474,0.005,0.000,120h,2.2e+06,,,
Hg,1,6950.7,0.3,6950.85,0.15,-0.1,5,,,,
Hg,1,6977.2,0.3,,,,,,,,
Hg,1,7009.2,0.3,7009.08,0.10,0.1,4,,,,
Hg,1,7022,1,7022.2,0.3,-0.2,0,,,,
Hg,1,7045.7,0.3,7045.54,0.15,0.2,8,,,,
Hg,1,7081.901,0.005,7081.901,0.005,0.000,1000,,,,
Hg,1,7091.860,0.005,7091.860,0.005,0.000,800,,,,
Hg,1,7101.3,0.3,,,,2,,,,
Hg,1,7120.0,0.3,,,,2,,,,
Hg,1,7125.6,0.3,7125.21,0.20,0.4,6*,,,,
Hg,1,7125.6,0.3,7125.3,0.3,0.3,6*,,,,
Hg,1,7125.6,0.3,7126.14,0.10,-0.5,6*,,,,
Hg,1,7135.0,0.3,7134.86,0.15,0.1,4,,,,
Hg,1,7147.6,0.3,7148.04,0.15,-0.4,2d,,,,
Hg,1,7154.2,0.3,,,,0d,,,,
Hg,1,7162.2,0.3,7162.27,0.21,-0.1,5,,,,
Hg,1,7169.0,0.3,,,,2,,,,
Hg,1,7170.6,0.6,7170.53,0.15,0.1,0,,,,
Hg,1,7177.8,0.3,7177.77,0.15,0.0,10,,,,
Hg,1,7190.9,0.3,7191.18,0.16,-0.3,3,,,,
Cd,2,3030.605,3030.613+,-0.008,50,,,,
Cd,1,3080.8224,3080.8220,0.0004,150,,,,
Cd,2,3081.484,3081.483+,0.001,25,,,,
Cd,1,3082.5934,3082.5924,0.0010,30,,,,
Cd,2,3092.337,3092.334+,0.003,100,,,,
Cd,1,3133.1666,3133.1663,0.0003,200,,,,
Cd,2,3146.790,3146.785+,0.005,50,,,,
Cd,2,3164.343,3164.403+,-0.060,1,7.3e+05,C,,
Cd,2,3179.961,3179.958+,0.003,10,8.5e+05,C,,
Cd,2,3232.260,3232.257+,0.003,5,6.0e+05,C,,
Cd,2,3238.742,3238.729+,0.013,10,7.3e+05,C,,
Cd,2,3250.3240,3250.293+,0.031,150,2.78e+06,B,,
Cd,1,3252.5240,3252.5245,-0.0005,300,,,,
Cd,1,3261.0548,3261.0546,0.0002,300,4.06e+05,C,,
Cd,2,3283.565,3283.561+,0.004,3,1.40e+06,C,,
Cd,2,,3300.312+,,,1.8e+05,D+,,
Cd,2,3343.209,3343.197+,0.012,50,,,,
Cd,2,3385.486,3385.482+,0.004,50,3.33e+06,C+,,
Cd,2,3388.884,3388.889+,-0.005,30,1.70e+06,C,,
Cd,1,3403.6521,3403.6521, 0.0000,800,7.7e+07,C,,
Cd,2,,3403.812+,,,,,,
Cd,2,,3404.222+,,,1.8e+05,D+,,
Cd,2,3417.491,3417.488+,0.003,50,,,,
Cd,2,3422.228,3422.231+,-0.003,5,6.0e+05,D+,,
Cd,2,3442.416,3442.413+,0.003,50,,,,
Cd,2,3464.426,3464.429+,-0.003,100,,,,
Cd,1,3466.1996,3466.1996,0.0000,1000,1.2e+08,D,,
Cd,1,3467.6547,3467.6544,0.0003,800,6.7e+07,D,,
Cd,2,3483.079,3483.082+,-0.003,25,,,,
Cd,2,3495.436,3495.432+,0.004,150,4.85e+07,C+,,
Cd,1,3499.9518,3499.9522,-0.0004,25,,,,
Cd,2,3524.112,3524.110+,0.002,100,,,,
Cd,2,3535.6907,3535.669+,0.022,100,7.9e+05,C,,
Cd,1,3610.5077,3610.508, 0.000,1000,1.3e+08,D,,
Cd,1,3612.8729,3612.8724,0.0005,800,3.5e+07,D,,
Cd,1,3614.4529,3614.4529, 0.0000,60,,,,
Cd,1,3649.5584,3649.5568,0.0016,20,,,,
Cd,2,3666.756,3666.736+,0.020,20,2.7e+05,C,,
Cd,2,3826.710,3826.706+,0.004,15,5.e+04,D,,
